pattern,count_in_file
Contribution of Each Character (Index tracking).,1
Contribution Technique (Position-wise Counting),1
Controlled Stack-based DFS (Lazy Loading).,1
Convex Hull + 3 Pointers (Shoelace Formula).,1
Convex Hull + Rotating Calipers.,1
Coordinate Compression + Segment Tree / Sparse Map.,1
Coordinate Compression / Line Sweep,1
Coordinate Compression / Sweep Line Map,1
Coordinate Geometry + Single Pass Accumulation.,1
Coordinate Mapping (Direct Indexing).,1
Coordinate Mapping (Precomputation),1
"Coordinate Math (i, j) Simulation",1
Coordinate Math (Manhattan Distance Pathing),1
Coordinate Min-Max Comparison,1
Coordinate Rotation (Chebyshev Transformation),1
Coordinate Sorting + Monotonic Optimization,1
Corner Count Set + Area Summation,1
Count Factors of 5 (Legendre's Formula).,1
COUNT(DISTINCT customer_id),1
COUNT(DISTINCT) with GROUP BY,1
Counting & Filling (Stable Parity). O(N),1
Counting + Combinatorics (Three Cases),1
Counting / Frequency (Linear Scan),1
Counting 1s + Suffix Matching,1
Counting Sort (Frequency Map),1
Counting Sort / Frequency Array,1
CROSS JOIN,1
CROSS JOIN (Cartesian Base) + LEFT JOIN,1
Cross Join (Master Template) + Left Join,1
CROSS JOIN (Template) + LEFT JOIN,1
CROSS JOIN / SELF JOIN,1
Cross Join with Duplicate Filtering (Upper Triangular Check).,1
"Cross Product (Orientation) For every three consecutive points, calculate the cross product. All cross products must have the same sign (all positive or all negative).",1
Cross-Multiplication (Slope Equality),1
CTE + Interval Merging (Sweep Line SQL),1
CTE + Window Functions (RANK),1
CTE / UNION for Bidirectional Friends + JOIN,1
CTE / Window Functions,1
CTE Aggregation + Window Function (LEAD),1
CTE with `COUNT(*) OVER(PARTITION BY salary)` + `DENSE_RANK()`.,1
CTEs + Not In / Except (Set Difference),1
Custom Comparator / Lambda Sorting.,1
Custom Comparator / Partitioning,1
Custom Comparator with __builtin_popcount,1
Custom Comparator with Bitwise Manipulation,1
Custom Greedy Sorting,1
Custom Greedy Sorting (Comparator: S1+S2 vs S2+S1).,1
Custom Sort (Length then Lexicographical),1
Custom Sort + Two Pointers (Subsequence Check).,1
Cycle Decomposition (Permutation Graph).,1
Cycle Decomposition (Permutation Theory).,1
Cycle Detection (Hash Map),1
"Cycle Detection (Pigeonhole) Record the `index` in s_2 after each s_1. If the same index repeats, a cycle is found. Calculate remainder math.",1
Cyclic Sort (Index as Map),1
Date Filtering + Grouping,1
Datetime library or Formula-based difference. `(Date2 - Date1).days * rate`.,1
Days Since Epoch (1971) Calculation,1
Deep Call Stack (Visualize memory frames for every nested level of the JSON structure).,1
Deep Call Stack Grid (Showing massive stack frames for O(N) depth and O(2^N) repeated states).,1
Deep Recursion Stack (Visualizing maximum stack depth O(N) but an exploding number of string copies across states).,1
Degree Array + Edge Adjacency Matrix,1
"Denary Tree Traversal Visualize numbers as a 10-ary tree (1, 10, 100...). Calculate ""steps"" between prefixes to skip whole subtrees.",1
Depth-First Search (DFS) / BFS,1
Depth-First Search (DFS) or Breadth-First Search (BFS),1
Deque + HashSet (Constant-Time Movement and Collision),1
Descending Order Sorting or Single-Pass Mapping.,1
Deterministic Finite Automaton (DFA),1
Deterministic One-Pass (DFA),1
df.drop_duplicates(subset=['id']),1
df.dropna(subset=['name']),1
df.head(3) (Slicing),1
"df.melt(id_vars=['product'], ...)",1
"df.pivot(index='month', columns='city', values='temperature')",1
df.rename(columns={...}),1
df.shape Attribute Access,1
df['grade'].astype(int),1
df['quantity'].fillna(0),1
df['salary'] *= 2 (Vectorized Math),1
DFS (Leaf-only Extraction).,1
DFS (Parent Tracking) + Pointer Manipulation,1
DFS (Post-order Traversal) with Existence Flags,1
DFS (Post-order) + Target Set,1
DFS (Pre-order Traversal of a 10-ary Tree),1
DFS (Pre-order) with target subtraction (passing `target - node.val` down the recursion).,1
DFS (to Map) + BFS (to Find Shortest Path).,1
DFS + Ancestor Hash Map,1
DFS + Ancestor Value Tracking (Value-based Map).,1
DFS + Backtracking (Parent Tracking),1
DFS + Bit Manipulation,1
DFS + Combinatorics (Product of Subtree Counts),1
DFS + Degree Counting,1
DFS + Fenwick Tree (BIT) / Merge Sort Tree.,1
DFS + Frequency Array (Counting),1
DFS + Hash Set.,1
DFS + Memoization (or Sorting + DP),1
DFS + Memoization (Topological Sort Pattern),1
"DFS + Memoization + Pruning Use string compression (remove 3+ matches) and a Map to store ""State: MinBalls"". Skip redundant placements.",1
"DFS + Memoization / DP (State: r, c, dir, turn_taken, next_val). O(N · M)",1
DFS + Path Serialization.,1
DFS + Precomputation (Level-wise Max Depths),1
DFS + Sliding Window on Path + Hash Map for Last Depth. O(N),1
DFS + Subtree Size Math,1
DFS + Trie (Bitwise),1
DFS / BFS (Parental Context),1
DFS / BFS + Grid Traversal (Visited tracking),1
DFS / BFS from the click point with strict boundary/number checks.,1
DFS / BFS or Union-Find (Disjoint Set Union).,1
DFS / BFS with Connectivity Logic.,1
DFS / BFS with Node Mapping (Memoization),1
DFS / Preorder Traversal + Hash Set,1
DFS mapping (to reveal grid) + Dijkstra's Algorithm (Shortest Path).,1
DFS Post-order Traversal + Tracking Node with Value 1,1
DFS Recursion (Post-Order),1
DFS Subtree Precomputation + Ancestor Check,1
DFS Tree Flattening + Manacher's Algorithm,1
DFS with Arithmetic Accumulation.,1
DFS with Backtracking,1
DFS with Backtracking / String Builder,1
"DFS with Backtracking. Maintain a single shared path list: `push` node, recurse, `pop` node.",1
DFS with Height-Based Grouping,1
DFS with In-place Sink (or BFS/Union-Find).,1
DFS with In-Place Sinking (Visited marking).,1
"DFS with Local Set Use backtracking. At each recursive level, use a `HashSet` to skip duplicate numbers to avoid redundant subsequences.",1
DFS with Max-So-Far Parameter,1
DFS with Memoization / Dependency Graph Resolve. O(Final Length),1
DFS with Path Tracking (Bottom-Up Logic),1
DFS with Probability Propagation,1
"DFS with Pruning / Bitmask DP Sort matchsticks descending. Try placing in a side; if it exceeds `target`, backtrack immediately.",1
DFS with Range Tracking (Top-Down).,1
DFS with Running Sum/State,1
DFS with Sliding Window on Tree Paths + Hash Map. O(N),1
DFS with State Marking (3-Coloring).,1
DFS with Subtree Size Precomputation,1
DFS with Timestamping (Kahn’s or Visited Array),1
"DFS/BFS Traversal (Same as Brute force, as you must visit every node to check).",1
DFS/BFS with a Hash Map (Mapping Original Nodes to Cloned Nodes).,1
DFS/BFS with Symmetrical Dual-Pointers,1
Diagonal Indexing (i - j) + HashMap/Bucket Sort. O(N²),1
Diagonal Iteration + Hash Set,1
Diagonal Point Matching + Hashset,1
Difference Array (Line Sweep),1
Difference Array (Prefix Sum of Queries),1
Difference Array (Prefix Sum of Shifts),1
Difference Array (Prefix Sum Optimization),1
Difference Array (Sweep Line),1
Difference Array (Sweep Line) or Fenwick Tree (Binary Indexed Tree) to mathematically track shifts.,1
Difference Array + Greedy (Sweep Line),1
Difference Array + Greedy Peak Tracking.,1
Difference Array / Greedy,1
Difference Array / Greedy Peaks,1
Difference Array / Lazy Propagation (Segment Tree).,1
Difference Array / Line Sweep.,1
Difference Array / Prefix Sum,1
Difference Array / Prefix Sum (Line Sweep).,2
Difference Array / Prefix Sums,1
Difference Array / Prefix Sums.,1
Difference Array / Sweep Line,2
Difference Array / Sweep Line Algorithm,1
Difference Array String Hashing + Frequency Map.,1
Digit DP (Combinatorial Counting).,1
Digit DP (Combinatorial Math),1
Digit DP (Dynamic Programming),1
Digit DP (Dynamic Programming) / Combinatorics.,1
Digit DP + KMP (Automata State),1
Digit DP + Precomputed Sieve,1
Digit DP / Arithmetic Progression Formula.,1
Digit DP / Combinatorics.,1
"Digit DP / Combinatorics. Precompute valid target ""set bit counts"", then build valid numbers bit by bit using combinations (nCr).",1
Digit DP / Constructive Greedy,1
Digit DP / Fibonacci Pattern.,1
Digit DP / Mathematical Counting (Digit-by-Digit),1
Digit DP with Remainder State,1
Digit Dynamic Programming,1
Digit Dynamic Programming (Bitmask),1
Digit Dynamic Programming (Digit DP),2
"Digit Dynamic Programming (State: index, tight, productMod, sum). O(digits · sum · prod)",1
Digit Dynamic Programming.,1
Digit Extraction (Modulo Arithmetic),1
Digit Extraction (Pop & Push),1
Digit Frequency Counting (Anagram Check).,1
Digit Manipulation + Hash Set,1
Digit-based DFS / Backtracking.,1
Digit-by-Digit Math w/ Carry,1
Digital Root (Mathematical Modulo 9),1
Dijkstra (from Node N) + DAG DP (Topological Sort/Memoization).,1
"Dijkstra + Auxiliary ""Teleport Hub"" nodes. Instead of V x V edges, connect all nodes to one ""Hub"" with specific entry/exit costs.",1
Dijkstra + DP (Counting),1
Dijkstra / BFS + A* Search or Dynamic Programming.,1
Dijkstra / Binary Search + BFS,1
"Dijkstra with State (City, DiscountsUsed)",1
"Dijkstra with String Priority Use a Priority Queue. Store `(distance, path_string, x, y)`. Only update if distance is smaller OR distance is equal but string is lexicographically smaller.",1
Dijkstra's (Bi-directional) + Edge Relaxation,1
Dijkstra's Algorithm,1
Dijkstra's Algorithm (with Priority Queue),1
Dijkstra's Algorithm + Parity Waiting Logic.,1
"Dijkstra's Algorithm with Bitmask DP (State Space Search). State = (Current_Node, Visited_Mask) .",1
Dijkstra's on a Coordinate Graph,1
Dijkstra's x3 (Steiner Tree on 3 Nodes variant).,1
Dijkstra’s Algorithm (Min-Priority Queue),1
Dijkstra’s Algorithm + Edge Coverage Math.,1
Dijkstra’s Algorithm + Prime Sieve,1
Dimension Reduction + Interval Merging,1
Dimension Sorting + LIS (Dynamic Programming),1
Direct Accumulation (Math optional),1
Direct Array Placement / Cyclic Sort,1
Direct Comparison / O(1) Access,1
Direct Digit Extraction (Modulo/Div),1
Direct Hash Map / ASCII Array Indexing.,1
Direct Index Mapping (Modulo Arithmetic).,1
Direct Index Mapping (One-Pass),1
Direct Indexing Compare `words[i].charAt(j)` with `words[j].charAt(i)` with boundary checks.,1
Direct Integer Accumulation,1
Direct Linear Scan with Set Lookup.,1
Direct Mapping + Pairwise Check,1
Direct Math (Division & Min). O(1),1
Direct Math (Positional Notation).,1
Direct Math Operations / ALU,1
Direct SQL Filtering (Math inside WHERE clause),1
Direct SQL WHERE Clause + ORDER BY.,1
Direct String Transformation + Regex,1
Directed Acyclic Graph (DAG) - Count In-Degrees,1
Directed Acyclic Graph (DAG) with Topological Updates.,1
Direction Array + Matrix Simulation,1
Directional Ray Casting + Primality Sieve,1
Disjoint Set Union (DSU),2
Disjoint Set Union (DSU) + Sorting by Value,1
Disjoint Set Union (DSU) / Connected Components,1
Disjoint Set Union (DSU) / Connected Components + Hash Maps.,1
Disjoint Set Union (DSU) / Connected Components + Sorting,1
Disjoint Set Union (DSU) / Connected Components.,1
Disjoint Set Union (DSU) / Kruskal's Variant with DP.,1
Disjoint Set Union (DSU) / Union-Find,1
Disjoint Set Union (DSU) or Validated BFS,1
"Disjoint Set Union (DSU) with Path Compression. For every session connection, union the two nodes and decrement the total cluster count.",1
Disjoint Set Union (DSU) with Restrictions Check,1
Disjoint Set Union (Union-Find),1
Disposable HashSets (Draw hundreds of temporary Sets being created and garbage-collected for every individual cell).,1
Distance Array + Priority Queue (Drawing the standard Dijkstra memory footprint).,1
Distance Sorting / Hash Set of Lengths.,1
Distinct Counting + Null Handling.,1
Divide & Conquer + Combinatorics (Pascal's Triangle),1
"Divide & Conquer Recursively check if a quadrant is ""leaf"". If all 4 children are leaves and same value, merge.",1
Divide and Conquer (Odd/Even Separation),1
Divide and Conquer (Quadtree Decomposition),1
Divide and Conquer (Recursive Splitting).,1
Divide and Conquer (Split on Invalid Characters),1
Divide and Conquer + Memoization (Top-Down DP),1
"Divide and Conquer / DFS. Find mid, make root, recurse left half, recurse right half.",1
Divide and Conquer / Sweep Line,1
"Divide and Conquer or Segment Tree with ""Monotonic Property"" optimization. Focus on boundaries where the XOR value changes (at most 32 times).",1
Divisor Counting + Inclusion-Exclusion,1
Divisor Iteration + Freq Map Comparison,1
Divisor Search + Post-order DFS,1
Double Array Concatenation + Monotonic Queue/DP,1
Double BFS (or DFS with Height Tracking),1
Double BFS / DFS,1
Double Binary Search,1
Double DFS / Max Flow Min Cut (Path Neutralization).,1
Double Ended Queue (Deque) / Two Pointers,1
Double Hash Maps (Count of Counts),1
Double In-place Reversal (Reverse Whole + Reverse Words).,1
Double JOIN + CASE Statement,1
Double Logarithmic Loop (Logarithmic Bounds),1
Double Loop with Square Root Check,1
Double Topological Sort (Kahn's Algorithm),1
Double-Ended Queue (Deque) + Running Sum,1
Doubly Linked List + TreeMap (or Lazy Deletion PQ),1
Doubly Linked List w/ Dummy Nodes,1
DP (1D Calendar / Days-based),1
"DP (1D/2D) `dp[i][j]` stores max score diff from subarray i...j. `dp[i][j] = max(nums[i]-dp[i+1][j], nums[j]-dp[i][j-1])`.",1
DP (Difference as State),1
DP (Hash Map of Sets) Map each stone to a Set of jump lengths that reached it.,1
"DP (Index, Remaining K, Last Parity)",1
DP (Interval 3D),1
"DP (Max Length per Char) Track the longest ""consecutive"" sequence ending at each character ('a' through 'z'). The sum of these 26 values is the result.",1
DP (Sorted Robots & Factories),1
DP (Stirling Numbers of Second Kind),1
DP (Subset Sum) Transform to finding a subset with sum (S + target)/2. Solve using 1D Knapsack DP.,1
DP + BFS / Optimized Recursion,1
DP + Binary Search (Weighted Interval Scheduling).,1
DP + Bitmask,1
DP + Bitset (Bit-Level Parallelism),1
DP + Character Frequency Pre-computation,1
"DP + Combinatorics (Digits, Count, Sum)",1
DP + Freq Map + Two Pointers,1
DP + Generating Functions / Polynomial Interpolation or NTT.,1
DP + Global Max Tracking (O(Nk)),1
DP + Largest Histogram (Q84),1
DP + LCP (Suffix) + Prefix Sums,1
DP + Longest Common Prefix (LCP) with Rolling Hash or Suffix Array,1
DP + Median Distance Pre-computation,1
DP + Median Properties / Slopes,1
"DP + Memoization (State: zeros, ones, last_bit)",1
DP + Memoization + Bitwise AND,1
DP + Memoization / Combinatorics,1
DP + Memoization or Monotonic Stack Sort,1
DP + Monotonic Deque (Sliding Window Maximum),1
DP + Monotonic Deque / Sliding Window.,1
DP + Monotonic Queue (Deque),2
DP + Monotonic Queue (Sliding Window),1
DP + Prefix Sum Optimization,2
DP + Prime Factor Bitmasking,1
DP + Segment Tree or Fenwick Tree. Use a coordinate-compressed Segment Tree to query the sum of `Up/Down` counts for all values smaller/larger than the current element in O(log N).,1
DP + Sliding Window (Prefix Sums),1
DP + Sorting + Binary Search,1
DP + Ternary Bitmask (State Compression),1
DP / BFS (Visited Grid),1
DP / Bitset Optimization,1
DP / Center Expansion + Greedy,1
DP / Central Expansion (Mismatch Count),1
DP / Contribution of Each Character,1
DP / Middle-Element Counting,1
"DP / Pre-calculated Jumps Join sentence with spaces. At each screen column start, pre-calculate which word the next row will start with.",1
DP on Strings / Bitmasking,1
DP with Bitmask,1
DP with Bitmask (Prime Representation),1
DP with Bitmask (State: Mask of completed tasks),1
DP with Bitmask / Memoization.,1
DP with Bitmasking.,1
DP with Bitset (Prefix/Suffix ORs),1
DP with Bitset Optimization,1
DP with Convex Hull Trick (CHT) or prefix sum optimization. O(N^2),1
DP with Frequency & Sum Mapping,1
DP with Frequency Map + Sliding Window Optimization,1
DP with Frequency Partitioning (i pmod K).,1
DP with Hash Map + Sorting.,1
DP with Interval Grouping (Bucket Sort style),1
DP with Interval Precomputation,1
DP with Left/Right Prefix Max,1
DP with Lexicographical Greedy Path. O(26 x N),1
"DP with Map Matrix Use an array of HashMaps `dp[i]`, where `dp[i][diff]` stores count of slices ending at i with difference `diff`.",1
DP with Memoization (Suffix Sums),1
DP with Minimum Tracking (Two-Minima Optimization),1
DP with Obstacle Guard,1
"DP with Prefix Sum Optimization + ""Ongoing"" State. O(n · k)",1
DP with Pruning (Capped Set size).,1
DP with Remainder State for each Divisor (1-9). O(10 · 10 · N),1
DP with Sliding Window / Prefix-Suffix Max.,1
DP with Sliding Window Sum.,1
"DP with State (lastRemainingIndex, nextIndex). O(N^2)",1
DP with Two Minimums (Optimization),1
DSU (Disjoint Set Union) + Backtracking + Sorting,1
DSU + In-degree Tracking.,1
DSU + Multiples (Sieve-like),1
Dual Frequency Array Comparison,1
Dual Frequency Maps (Visualizing two HashMaps being fully rebuilt for every possible split point).,1
Dual Hash Maps (Count of Counts),1
Dual Hash Maps (Frequency Tracking),1
Dual Hash Maps (In-Transit & Completed),1
Dual-Map Bijection or Pattern Normalization.,1
Dual-Pass Dijkstra (Target Distance Matching),1
Dummy Node + Linear Traversal,1
Dutch National Flag (3-Pointer),1
Dynamic BFS / Incremental DP,1
Dynamic Prefix Maximum & Max-Difference Tracking,1
Dynamic Programming (0/1 Knapsack variation).,1
Dynamic Programming (1D Array).,1
Dynamic Programming (1D),2
Dynamic Programming (1D) or BFS,1
Dynamic Programming (1D).,1
Dynamic Programming (1D/2D),1
Dynamic Programming (2D Range DP),1
Dynamic Programming (2D Table or 1D Optimized),1
Dynamic Programming (2D Table),1
Dynamic Programming (2D),2
Dynamic Programming (2D) or Two-Pointer Slide,1
Dynamic Programming (2D/3D).,1
Dynamic Programming (3-State Machine),1
Dynamic Programming (4-Directional Prefix),1
Dynamic Programming (4-state variables) or Prefix/Suffix Profit Arrays.,1
Dynamic Programming (Base-X Representation),1
Dynamic Programming (Bellman-Ford variant).,1
Dynamic Programming (Bi-directional Kadane's),1
Dynamic Programming (Bottom-Up 1D),2
Dynamic Programming (Bottom-Up),2
Dynamic Programming (Catalan Number Variation),1
Dynamic Programming (Catalan Number),1
Dynamic Programming (Column by Column),1
Dynamic Programming (Column State Transitions),1
Dynamic Programming (Divide and Conquer with Memoization),1
Dynamic Programming (DP Table with State).,1
Dynamic Programming (DP with Hash Table),1
Dynamic Programming (DP) tracking the minimum and maximum possible sum of `1s - 0s` at each cell.,1
"Dynamic Programming (DP). `dp[i][direction]` = number of zigzags ending at index i going ""up"" or ""down"".",1
Dynamic Programming (Ending-character Tally),1
Dynamic Programming (Frequency Transitions),1
Dynamic Programming (Generating Functions Reconstruction).,1
Dynamic Programming (Histogram Heights) + Greedy Sorting.,1
Dynamic Programming (House Robber Variation),1
Dynamic Programming (In-place or 1D),1
Dynamic Programming (In-place),1
Dynamic Programming (In-Place),1
Dynamic Programming (Interval DP).,1
Dynamic Programming (Interval DP). `dp[i][j]` stores whether the subarray from i to j can be transformed into the target.,1
Dynamic Programming (Iterative Space Optimized),1
Dynamic Programming (Kadane's Algorithm Variant),1
Dynamic Programming (Kadane's variation with Min/Max tracking).,1
Dynamic Programming (Knapsack on Log-Sums) / Prime Factorization.,1
"Dynamic Programming (Knapsack variant) or Combinatorial Math. Since capping is a uniform rule, use the frequency of elements to calculate contributions.",1
Dynamic Programming (Knapsack variant) or Meet-in-the-Middle if N is around 30-40.,1
Dynamic Programming (LCS Variant),1
Dynamic Programming (LCS Variation).,1
Dynamic Programming (Left & Right Prefix/Suffix Arrays),1
Dynamic Programming (Linear House Robber Variant),1
Dynamic Programming (Linear State),1
Dynamic Programming (Linear).,1
Dynamic Programming (LIS Variant).,1
Dynamic Programming (LIS Variation),2
Dynamic Programming (Longest Common Subsequence Variation),1
Dynamic Programming (Longest Common Subsequence).,1
Dynamic Programming (Longest Palindromic Subsequence),1
Dynamic Programming (Matrix Chain Multiplication style).,1
Dynamic Programming (Matrix Exponentiation),1
Dynamic Programming (MCM - Matrix Chain Multiplication Style).,1
Dynamic Programming (MCM Variant),1
Dynamic Programming (Min/Max Tracking),1
Dynamic Programming (Most Significant Bit / Least Significant Bit),1
Dynamic Programming (O(N^2 * k)),1
Dynamic Programming (Partition DP) / Generating Functions.,1
Dynamic Programming (Pascal's Triangle Variation),1
Dynamic Programming (Pick/Skip State),1
Dynamic Programming (Pre-computed Distances),1
Dynamic Programming (Prefix Sum Opt),1
Dynamic Programming (Prefix Sum Transition),1
Dynamic Programming (Range DP).,1
Dynamic Programming (Remainder DP). State = `dp[i][remainder]`. Find the maximum sum we can delete that leaves a remainder of R.,1
Dynamic Programming (Remainder State),1
Dynamic Programming (Right-to-Left).,1
Dynamic Programming (Row & Column Pre-computation),1
Dynamic Programming (Sort + Longest Path in DAG),1
Dynamic Programming (Space Optimized HashMap).,1
Dynamic Programming (Space Optimized),1
Dynamic Programming (State Compression),2
Dynamic Programming (State Independence),1
Dynamic Programming (State Machine Kadane's).,1
Dynamic Programming (State Machine),2
Dynamic Programming (State Machine) / Greedy.,1
Dynamic Programming (State Machine): 2 states per index (Swapped vs Not Swapped).,1
Dynamic Programming (State Transitions),1
Dynamic Programming (State: [roads][skips]).,1
Dynamic Programming (State: City x Fuel),1
"Dynamic Programming (State: i, j, diff)",1
Dynamic Programming (State: Index + Prev Value),1
"Dynamic Programming (State: index, last_color_left, last_color_right). O(N)",1
"Dynamic Programming (State: mile, lane, switchesLeft). O(N)",1
Dynamic Programming (State: Value & Direction),1
Dynamic Programming (Stirling Numbers of the First Kind).,1
Dynamic Programming (Subproblem relation).,1
Dynamic Programming (Suffix Sum with Jump),1
Dynamic Programming (Suffix-based),1
Dynamic Programming (Tabulation). Building the current row iteratively from the directly previous row.,1
Dynamic Programming (Top-Down Memoization or 2D Bottom-Up).,1
Dynamic Programming (Top-Down with Memo),1
Dynamic Programming (Two 1D Arrays).,1
Dynamic Programming (Two Passes),1
"Dynamic Programming (Two-State: Ends in 0, Ends in 1)",1
Dynamic Programming (Two-State: Same/Different),1
Dynamic Programming (Viterbi-like),1
Dynamic Programming + Bitmasking.,1
Dynamic Programming + Freq Counting,1
Dynamic Programming + Hash Map,1
Dynamic Programming + Hashing (Sorting by Length).,1
Dynamic Programming + Monotonic Queue (Sliding Window),1
Dynamic Programming + Monotonic Queue/Segment Tree.,1
Dynamic Programming + Precomputed Best Times.,1
Dynamic Programming + Prefix Sums,1
Dynamic Programming + Sliding Window (Prefix Sum of Reachable Nodes).,1
Dynamic Programming / 1D State Tracking.,1
Dynamic Programming / Backtracking with Memoization,1
Dynamic Programming / BFS with Memoization & Pruning.,1
"Dynamic Programming / BFS with State. State = `(row, col, direction)`. Since the path is ""twisted"", we track our entering vector.",1
Dynamic Programming / Combinatorics Math,1
Dynamic Programming / Greedy Matching,1
Dynamic Programming / Greedy Range Extremes,1
Dynamic Programming / Greedy State,1
Dynamic Programming / Greedy Tally,1
Dynamic Programming / Hash Map,1
Dynamic Programming / Linear Counting,1
Dynamic Programming / Math (Running Count).,1
Dynamic Programming / Mathematical Greedy,1
Dynamic Programming / Monotonic Stack.,1
Dynamic Programming / Prefix Sums,1
Dynamic Programming / Prefix Sums.,1
Dynamic Programming / Prefix-Suffix Min.,1
Dynamic Programming / State Machine,1
"Dynamic Programming / State Machine. State = `(Day, HasStock)`. Use a simple greedy one-pass if unlimited trades are allowed.",1
Dynamic Programming on Trees (Tree DP).,1
Dynamic Programming or Mathematical Optimization (Rule of 3s),1
Dynamic Programming with a Fenwick Tree or Segment Tree to find the maximum shipments ending at index `i`.,1
Dynamic Programming with Bitmask,2
Dynamic Programming with Bitmask (State Compression).,1
Dynamic Programming with Bitmask.,1
Dynamic Programming with Bitmasking,1
Dynamic Programming with Bitmasking (State Compression),1
Dynamic Programming with Bitmasking / Dijkstra.,1
"Dynamic Programming with Counting (Combinatorics). Group elements by their remainder when divided by the ""beauty"" difference K, then solve as a ""House Robber"" variant.",1
Dynamic Programming with Frequency Maps or Combinatorics. Calculate combinations of each element frequency F independently and sum them.,1
Dynamic Programming with Mathematical Contribution (Prefix Arrays).,1
Dynamic Programming with Memoization,1
Dynamic Programming with State (Changed vs. Unchanged).,1
Dynamic SQL / Information Schema,1
Early Exit Iterator,1
"Early Short-Circuit Simulation. If any digit is '0', the product becomes 0 instantly (cannot divide by zero), so return false immediately.",1
Early-Exit Linear Comparison,1
Edge-Centric + Top 3 Neighbors,1
Enumeration by Zero-Count (O(N√N)),1
Euclidean Algorithm (Recursive/Iterative),1
"Euclidean Algorithm for GCD. `gcd(a, b)` where you repeatedly take the remainder until one reaches zero.",1
Event-Driven Simulation using 4 Priority Queues (Heaps).,1
Execution Context Overhead (Visualizing the engine creating and destroying complex scopes for every iteration).,1
Exhaustive Heatmap Search (Brute Force),1
Expand Around Center,1
Expand Around Center + Difference Count.,1
Expand Around Center.,1
Exponential Expansion + Binary Search,1
Exponential State Memory (Visualizing the storage of all valid subarray combinations).,1
Exponential State Search (Visualizing all possible combinations of powers being summed).,1
Exponential State Tracking (Visualizing memory holding all subsets simultaneously or deep recursion tree).,1
Exponential String Allocation (Visualize the heap filling with modified versions of the string).,1
Extreme Frequency Identification. O(N),1
Factorial Number System (Math),1
Fast & Slow Pointers (One Pass),1
Fast and Slow Pointers,1
Fast and Slow Pointers (Tortoise and Hare),1
Fast Fourier Transform (FFT) or Karatsuba.,1
Fast/Slow Pointers + Reverse Linked List.,1
Fenwick Tree (Binary Indexed Tree),1
Fenwick Tree (BIT) / Index Mapping,1
Fenwick Tree (BIT) / Segment Tree,1
Fenwick Tree (BIT) / Segment Tree + Coordinate Compression,1
Filtered Inner Join Pipeline,1
Filtered Select with Null Handling.,1
"Find Dip, Swap, Reverse",1
Find Middle + Reverse Second Half + Interweave.,1
"Finding Bound Indices (Last 1, First 3) + Linear locked-state count. O(N)",1
First-Occurrence String Search / Math,1
First/Last Index Pre-computation,1
First/Last Occurrence Hash Map.,1
Fisher-Yates Shuffle Algorithm,1
Fixed Size Sliding Window,1
Fixed Sliding Window (No Set).,1
Fixed Sliding Window + Frequency Map,1
Fixed Sliding Window + Persistent Hash Map (or Array Cache) for O(1) incremental score updates.,1
Fixed Sliding Window on a Concatenated Array.,1
Fixed-Size Max-Heap,1
Fixed-Size Sliding Window,1
Fixed-Space Iteration (100..998) + Frequency Map Tally. O(N + 450),1
Fixed-Window Sliding (Multiple Passes),1
Floating Closure Memory (The callback and its lexical environment stay in memory until the timer naturally finishes).,1
Flood Fill (DFS/BFS) + Edge Trimming,1
Floyd-Warshall (All-Pairs Shortest Path),2
Floyd-Warshall (Precomputation) or Weighted Disjoint Set Union (DSU).,1
Floyd-Warshall (Transitive Closure),1
Floyd-Warshall Algorithm (All-Pairs Shortest Path),1
Floyd’s Cycle Finding (Tortoise and Hare),1
Floyd’s Cycle-Finding Algorithm (Fast & Slow Pointers),1
Floyd’s Cycle-Finding Algorithm (Tortoise and Hare).,1
Fractional Conversion (Math/String),1
Frequency Array (Character Tally),1
Frequency Array (Counting Sort Pattern),1
Frequency Array (Counting Sort).,1
Frequency Array (Hash Buckets),1
Frequency Array (Hash Map Pattern),1
Frequency Array + Greedy Consolidation.,1
Frequency Array + Prefix Sums + Math (Harmonic Series block processing).,1
Frequency Array + Triple Loop (Values 1-100).,1
Frequency Array / Counting (Rows are Sorted),1
Frequency Array / Hash Map,1
Frequency Array / Hashing (Long Int),1
Frequency Array / Hashing (Modulo 24),1
Frequency Array / Math (Sum & Squares),1
Frequency Array / Matrix Exponentiation,1
Frequency Bucket Counting,1
Frequency Counter (Fixed-size Array),1
Frequency Counting (Greedy),1
Frequency Counting (Hash Map),1
Frequency Counting (Hash Map/Array),1
Frequency Counting (Odd Count Limit),1
Frequency Counting (Since arrays are sorted & distinct),1
Frequency Counting (Y vs. Non-Y),1
Frequency Counting + Combinatorics,1
Frequency Counting + Greedy Math,1
Frequency Counting + Iterative Value Check,1
Frequency Counting + Last Occurrence Mapping,1
Frequency Counting + Permutation Invariance.,1
Frequency Counting + Top 2 Candidates.,1
Frequency Counting Map / Parity Math,1
Frequency Counting of Top 2 Elements (Even/Odd).,1
Frequency Dominance / Median Comparison,1
Frequency Hash Map (Value -> List of Indices).,1
Frequency Hash Map + Greedy Matching.,1
Frequency Hash Map + Sum Equation,1
Frequency Hash Map or Bitmasking on an Array,1
Frequency Hash Map or Sorted Two-Pointers.,1
Frequency Hash Map.,2
Frequency Intersection (Min-Tally),1
Frequency Map (Counting Sort Style),1
