data_shape,primary_engine,variation,composite_helper,canonical_link,questions
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Sorting + Greedy Check,Canonical: Two Sum II / Container With Most Water,3
Array / Sequence,Prefix / Suffix Precompute,Difference-array accumulation,+ Greedy Check,Canonical: Prefix/Suffix extrema accumulation,3
Array / Sequence,Heap,Top-K / best-first selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,3
Number / Bit / Math,Hash Map,Direct keyed lookup,+ Sorting,Canonical: Direct lookup dictionary,3
Number / Bit / Math,Hash Map,Direct keyed lookup,+ Math,Canonical: Direct lookup dictionary,3
Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map + Counting,Canonical: Range Sum Query,3
Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map + Math,Canonical: Range Sum Query,3
Intervals / Geometry / Coordinates,Binary Search,Answer-space binary search,+ Greedy Check,Canonical: Koko Eating Bananas,3
Graph / Network,Union-Find,Connectivity / component merging,+ Math,Canonical: Number of Connected Components / Redundant Connection,3
Number / Bit / Math,Heap,Top-K / best-first selection,None,Canonical: Top K Frequent Elements / merge-k,3
Number / Bit / Math,Heap,Priority-based selection,+ Greedy Check,Canonical: Top K Frequent Elements / merge-k,3
Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Math,Canonical: Contains Duplicate / seen-set uniqueness,3
Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map,Canonical: Range Sum Query,3
Number / Bit / Math,Prefix / Suffix Precompute,Difference-array accumulation,+ Intervals/Geometry,Canonical: Prefix/Suffix extrema accumulation,3
Number / Bit / Math,Math / Number Theory,Fast exponentiation,None,"Canonical: Pow(x, n)",3
Graph / Network,Union-Find,Connectivity / component merging,+ Hash Set,Canonical: Number of Connected Components / Redundant Connection,3
Array / Sequence,Sliding Window,Variable-size window,+ Math,Canonical: Minimum Window / variable-size window,3
Array / Sequence,Sliding Window,Fixed-size window,None,Canonical: Fixed-size subarray window,3
Array / Sequence,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Set,Canonical: Longest Substring Without Repeating Characters,3
Array / Sequence,Sliding Window,Variable-size window,+ Counting,Canonical: Minimum Window / variable-size window,3
Array / Sequence,Segment Tree,Range query / update tree,+ Prefix/Suffix + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,3
String / Text,Bit / Mask,Subset mask state,None,Canonical: Bitmask subset DP,3
Relational Table / SQL,SQL / Window Function,Partitioned window analytics,+ Counting,Canonical: Ranking & running-row analytics,3
Matrix / Grid,Counting,Count-driven scan,None,Canonical: Frequency counting,3
Tree / Trie,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting,Canonical: Course Schedule,3
Tree / Trie,Tree,LCA query,None,Canonical: Lowest Common Ancestor,3
Matrix / Grid,Dynamic Programming,Memoized DP,None,Canonical: Coin Change (top-down),3
Matrix / Grid,Dynamic Programming,State-transition DP,+ Math,Canonical: Coin Change / state-transition DP,3
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Memoization,Canonical: Exact custom named technique,3
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Queue/Deque,Canonical: Exact custom named technique,3
Array / Sequence,Counting,Frequency counting,+ Greedy Check,Canonical: Frequency counting,3
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,3
Tree / Trie,Tree,Recursive subtree aggregation,+ Heap,Canonical: Binary Tree recursion,3
Array / Sequence,BFS,Single-source breadth-first traversal,+ Graph,Canonical: Shortest-path layer BFS,3
Matrix / Grid,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,3
Matrix / Grid,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,3
Linked List,Linked List,Pointer manipulation on list nodes,+ Hash Map,Canonical: Pointer rewiring on linked list,3
String / Text,Two Pointers,Boundary / pointer sweep,+ Sorting,Canonical: Two Sum II / Container With Most Water,3
Number / Bit / Math,Binary Search,Answer-space binary search,+ Math,Canonical: Koko Eating Bananas,3
Number / Bit / Math,Binary Search,Boundary / insertion search,None,Canonical: First/Last Position in Sorted Array,3
Array / Sequence,Binary Search,Exact / partition binary search,+ Math,Canonical: Binary Search / median partition,3
Array / Sequence,Binary Search,Boundary / insertion search,None,Canonical: First/Last Position in Sorted Array,3
Array / Sequence,Greedy,Local-choice optimization,+ Intervals/Geometry,Canonical: Gas Station / local-choice greedy,3
Array / Sequence,Counting,Frequency counting,+ Math,Canonical: Frequency counting,2
Tree / Trie,Tree,Recursive subtree aggregation,+ Hash Set,Canonical: Binary Tree recursion,2
Array / Sequence,Counting,Count-driven scan,+ Sorting,Canonical: Frequency counting,2
Tree / Trie,Tree,Recursive subtree aggregation,+ Segment/Fenwick,Canonical: Binary Tree recursion,2
Array / Sequence,Greedy,Local-choice optimization,+ Counting,Canonical: Gas Station / local-choice greedy,2
String / Text,Two Pointers,Boundary / pointer sweep,+ Hash Set,Canonical: Two Sum II / Container With Most Water,2
Number / Bit / Math,Binary Search,Exact / partition binary search,+ Greedy Check + Math,Canonical: Binary Search / median partition,2
Number / Bit / Math,Backtracking,Combination search,None,Canonical: Permutations / combinations search,2
Number / Bit / Math,Binary Search,Answer-space binary search,+ Greedy Check,Canonical: Koko Eating Bananas,2
Number / Bit / Math,Backtracking,Choice tree with undo,+ Bitmask,Canonical: Permutations / combinations search,2
Linked List,Linked List,Pointer manipulation on list nodes,+ Hash Map + Counting,Canonical: Pointer rewiring on linked list,2
Linked List,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,2
Intervals / Geometry / Coordinates,Sorting / Sweep,Sweep / interval ordering,+ Math,Canonical: Merge Intervals,2
Intervals / Geometry / Coordinates,Two Pointers,Boundary / pointer sweep,+ Hash Map,Canonical: Two Sum II / Container With Most Water,2
Matrix / Grid,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,2
Number / Bit / Math,BFS,Single-source breadth-first traversal,+ Math,Canonical: Shortest-path layer BFS,2
Number / Bit / Math,BFS,Single-source breadth-first traversal,+ Memoization,Canonical: Shortest-path layer BFS,2
Matrix / Grid,Simulation / Scan / Precompute,State-tracking simulation,None,Canonical: Direct simulation,2
Matrix / Grid,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,2
Tree / Trie,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,2
Tree / Trie,Prefix / Suffix Precompute,Difference-array accumulation,+ Intervals/Geometry,Canonical: Prefix/Suffix extrema accumulation,2
Tree / Trie,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,+ Bitmask,Canonical: Prefix/Suffix extrema accumulation,2
Tree / Trie,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,2
Tree / Trie,Trie,Prefix-tree traversal / insertion,+ Counting + Prefix/Suffix + Bitmask,Canonical: Implement Trie (Prefix Tree),2
Tree / Trie,Tree,Recursive subtree aggregation,+ Greedy Check,Canonical: Binary Tree recursion,2
Tree / Trie,Tree,Recursive subtree aggregation,+ Hash Map + Sorting,Canonical: Binary Tree recursion,2
Tree / Trie,Simulation / Scan / Precompute,State-tracking simulation,None,Canonical: Direct simulation,2
Array / Sequence,DFS,Depth-first traversal,+ Graph,Canonical: Depth-first component exploration,2
Array / Sequence,DFS,Depth-first traversal,+ Tree,Canonical: Depth-first component exploration,2
Array / Sequence,DFS,Depth-first traversal,+ Trie,Canonical: Depth-first component exploration,2
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix,Canonical: Exact custom named technique,2
Array / Sequence,Backtracking,Choice tree with undo,None,Canonical: Combination Sum,2
Array / Sequence,Counting,Frequency counting,+ Sorting,Canonical: Frequency counting,2
Tree / Trie,Two Pointers,Center expansion,None,Canonical: Longest Palindromic Substring,2
Array / Sequence,BFS,Single-source breadth-first traversal,+ Hash Set,Canonical: Shortest-path layer BFS,2
Tree / Trie,Prefix / Suffix Precompute,Range-sum precompute,+ Intervals/Geometry,Canonical: Range Sum Query,2
Matrix / Grid,Geometry,Coordinate transform / distance geometry,+ Math,Canonical: Geometry / sweep / convex-hull family,2
Matrix / Grid,Geometry,Geometric reasoning,+ Math,Canonical: Geometry / sweep / convex-hull family,2
Matrix / Grid,Dynamic Programming,State-transition DP,+ Bitmask,Canonical: Coin Change / state-transition DP,2
Matrix / Grid,Dynamic Programming,2D DP,+ Intervals/Geometry,Canonical: Edit Distance / Grid DP,2
Matrix / Grid,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,2
Matrix / Grid,Counting,Count-driven scan,+ Grid,Canonical: Frequency counting,2
Tree / Trie,Sliding Window,Variable-size window,+ Prefix/Suffix,Canonical: Minimum Window / variable-size window,2
Tree / Trie,Stack,Dual-stack transfer / evaluation,None,Canonical: Valid Parentheses,2
String / Text,Counting,Count-driven scan,+ Greedy Check,Canonical: Frequency counting,2
String / Text,Counting,Count-driven scan,+ Greedy Check + Math,Canonical: Frequency counting,2
String / Text,Backtracking,Permutation / choice-tree generation,None,Canonical: Permutations / combinations search,2
String / Text,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,2
Relational Table / SQL,SQL / Window Function,Partitioned window analytics,+ Grid,Canonical: Ranking & running-row analytics,2
Array / Sequence,Sliding Window,Variable-size window,+ Greedy Check,Canonical: Minimum Window / variable-size window,2
Array / Sequence,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick + Intervals/Geometry,Canonical: Range query / update segment tree,2
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Math,Canonical: Basic filter / reshape / null-handling,2
Number / Bit / Math,Simulation / Scan / Precompute,Direct simulation / scan,+ Queue/Deque,Canonical: Direct simulation,2
Graph / Network,Union-Find,Connectivity / component merging,+ Counting,Canonical: Number of Connected Components / Redundant Connection,2
Graph / Network,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,2
Graph / Network,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,2
Graph / Network,Two Pointers,Boundary / pointer sweep,+ Greedy Check,Canonical: Two Sum II / Container With Most Water,2
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Bitmask,Canonical: Network Delay Time,2
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Grid,Canonical: Network Delay Time,2
Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Intervals/Geometry,Canonical: Network Delay Time,2
Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,2
Number / Bit / Math,Prefix / Suffix Precompute,Range-sum precompute,+ Sorting,Canonical: Range Sum Query,2
Number / Bit / Math,Prefix / Suffix Precompute,Prefix/suffix extrema or counts,+ Hash Map + Bitmask,Canonical: Prefix/Suffix extrema accumulation,2
Number / Bit / Math,Math / Number Theory,Divisor / number theory,+ Prefix/Suffix + Graph,Canonical: Count Primes / GCD-LCM family,2
Number / Bit / Math,Math / Number Theory,Formula / constructive math,+ String Parsing,Canonical: Mathematical invariant,2
Number / Bit / Math,Heap,Priority-based selection,None,Canonical: Top K Frequent Elements / merge-k,2
Number / Bit / Math,Heap,Priority-based selection,+ Hash Map,Canonical: Top K Frequent Elements / merge-k,2
Number / Bit / Math,Heap,Priority-based selection,+ Queue/Deque,Canonical: Top K Frequent Elements / merge-k,2
Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Bitmask + Tree + Segment/Fenwick,Canonical: Contains Duplicate / seen-set uniqueness,2
Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Greedy Check,Canonical: Contains Duplicate / seen-set uniqueness,2
Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Bitmask,Canonical: Contains Duplicate / seen-set uniqueness,2
Intervals / Geometry / Coordinates,Dynamic Programming,Bitmask DP,+ Bitmask,Canonical: Traveling-state / subset DP,2
Intervals / Geometry / Coordinates,Binary Search,Answer-space binary search,+ Sorting,Canonical: Koko Eating Bananas,2
Intervals / Geometry / Coordinates,Binary Search,Answer-space binary search,None,Canonical: Koko Eating Bananas,2
Intervals / Geometry / Coordinates,BFS,Single-source breadth-first traversal,+ Heap,Canonical: Shortest-path layer BFS,2
Intervals / Geometry / Coordinates,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,2
Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting + Greedy Check,Canonical: Group Anagrams / frequency map,2
Number / Bit / Math,Hash Map,Direct keyed lookup,+ Bitmask,Canonical: Direct lookup dictionary,2
String / Text,Dynamic Programming,State-transition DP,+ Greedy Check,Canonical: Coin Change / state-transition DP,2
String / Text,Dynamic Programming,State-transition DP,+ Math,Canonical: Coin Change / state-transition DP,2
Array / Sequence,Prefix / Suffix Precompute,Difference-array accumulation,None,Canonical: Prefix/Suffix extrema accumulation,2
Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Greedy Check,Canonical: Range Sum Query,2
Array / Sequence,Heap,Top-K / best-first selection,None,Canonical: Top K Frequent Elements / merge-k,2
String / Text,Dynamic Programming,3D DP,None,Canonical: Coin Change / state-transition DP,2
String / Text,Dynamic Programming,Bitmask DP,+ Bitmask,Canonical: Traveling-state / subset DP,2
String / Text,DFS,Depth-first traversal,+ Trie,Canonical: Depth-first component exploration,2
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ String Parsing,Canonical: Two Sum II / Container With Most Water,2
Graph / Network,BFS,Single-source breadth-first traversal,+ Bitmask,Canonical: Shortest-path layer BFS,2
Array / Sequence,Sliding Window,Variable-size window,+ Sorting,Canonical: Minimum Window / variable-size window,2
Array / Sequence,Sorting / Sweep,Order-then-scan,+ Math,Canonical: Sort then scan,2
Array / Sequence,Stack,Dual-stack transfer / evaluation,None,Canonical: Valid Parentheses,2
Number / Bit / Math,Sorting / Sweep,Order-then-scan,+ Math,Canonical: Sort then scan,2
Number / Bit / Math,Sliding Window,Variable-size window,+ Math,Canonical: Minimum Window / variable-size window,2
Number / Bit / Math,Sliding Window,Variable-size window,+ Prefix/Suffix + Math,Canonical: Minimum Window / variable-size window,2
Graph / Network,Shortest Path / Flow,Flow / matching,None,Canonical: Bipartite matching / flow,2
Graph / Network,Matrix / Grid,Grid / board traversal,+ Graph,Canonical: Grid traversal / DP scan,2
Graph / Network,Greedy,Local-choice optimization,+ Prefix/Suffix,Canonical: Gas Station / local-choice greedy,2
Graph / Network,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,2
Graph / Network,Dynamic Programming,Tree DP,+ Tree,Canonical: Binary Tree Maximum Path Sum / tree DP,2
Graph / Network,Graph,Eulerian path construction,None,Canonical: Reconstruct Itinerary / Eulerian path,2
Graph / Network,Graph,General graph modeling,+ Math,Canonical: General graph construction,2
Graph / Network,Greedy,Greedy with numeric invariant,+ Math,Canonical: Gas Station / local-choice greedy,2
Number / Bit / Math,Sliding Window,Fixed-size window,+ Sorting,Canonical: Fixed-size subarray window,2
Number / Bit / Math,Sliding Window,Variable-size + frequency/uniqueness control,None,Canonical: Longest Substring Without Repeating Characters,2
Number / Bit / Math,Sliding Window,Variable-size window,+ Greedy Check,Canonical: Minimum Window / variable-size window,2
Number / Bit / Math,Segment Tree,Range query / update tree,+ Queue/Deque + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,2
String / Text,Counting,Frequency counting,+ Sorting + Greedy Check,Canonical: Frequency counting,2
String / Text,DFS,Depth-first traversal,None,Canonical: Depth-first component exploration,2
String / Text,Counting,Frequency counting,+ Greedy Check,Canonical: Frequency counting,2
Number / Bit / Math,Greedy,Local-choice optimization,+ Tree + Segment/Fenwick,Canonical: Gas Station / local-choice greedy,2
Number / Bit / Math,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Sorting + Tree + Segment/Fenwick,Canonical: Fenwick tree / Binary Lifting,2
Number / Bit / Math,Greedy,Local-choice optimization,+ Bitmask,Canonical: Gas Station / local-choice greedy,2
Intervals / Geometry / Coordinates,Heap,Priority-based selection,None,Canonical: Top K Frequent Elements / merge-k,2
Intervals / Geometry / Coordinates,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,2
Intervals / Geometry / Coordinates,Greedy,Local-choice optimization,+ Sorting,Canonical: Gas Station / local-choice greedy,2
Number / Bit / Math,Dynamic Programming,State-transition DP,+ Greedy Check,Canonical: Coin Change / state-transition DP,2
Number / Bit / Math,Dynamic Programming,Tree DP,+ Tree,Canonical: Binary Tree Maximum Path Sum / tree DP,2
Number / Bit / Math,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Prefix/Suffix + Tree + Segment/Fenwick,Canonical: Fenwick tree / Binary Lifting,2
Number / Bit / Math,Dynamic Programming,State-transition DP,+ Counting + Math,Canonical: Coin Change / state-transition DP,2
String / Text,Sliding Window,Variable-size window,+ Prefix/Suffix,Canonical: Minimum Window / variable-size window,2
Array / Sequence,Heap,Priority-based selection,+ Queue/Deque,Canonical: Top K Frequent Elements / merge-k,2
Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Sorting + Greedy Check,Canonical: Group Anagrams / frequency map,2
Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Bitmask,Canonical: Contains Duplicate / seen-set uniqueness,2
Array / Sequence,Hash Set,Uniqueness / seen-set check,+ Math,Canonical: Contains Duplicate / seen-set uniqueness,2
String / Text,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map + Counting,Canonical: Range Sum Query,2
String / Text,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,2
String / Text,Queue / Deque,Deque-backed range/window state,None,Canonical: Sliding Window Maximum,2
String / Text,Math / Number Theory,Divisor / number theory,None,Canonical: Count Primes / GCD-LCM family,2
String / Text,Hash Map,Frequency dictionary,+ Counting + Math,Canonical: Group Anagrams / frequency map,2
String / Text,Hash Set,Uniqueness / seen-set check,+ Counting,Canonical: Contains Duplicate / seen-set uniqueness,2
String / Text,Greedy,Local-choice optimization,+ Prefix/Suffix,Canonical: Gas Station / local-choice greedy,2
Number / Bit / Math,DFS,Depth-first traversal,+ Graph,Canonical: Depth-first component exploration,2
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Counting,Canonical: Exact custom named technique,2
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Counting + Bitmask + Tree,Canonical: Exact custom named technique,2
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Graph + Math,Canonical: Exact custom named technique,2
Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Memoization,Canonical: Exact custom named technique,2
Number / Bit / Math,Counting,Frequency counting,+ Greedy Check,Canonical: Frequency counting,2
Number / Bit / Math,Counting,Frequency counting,+ Sorting + Greedy Check,Canonical: Frequency counting,2
Number / Bit / Math,Counting,Voting / dominant element,+ Greedy Check,Canonical: Majority Element,2
Number / Bit / Math,Counting,Count-driven scan,+ Sorting + Greedy Check,Canonical: Frequency counting,2
Intervals / Geometry / Coordinates,Segment Tree,Range query / update tree,+ Hash Map + Tree + Segment/Fenwick,Canonical: Range query / update segment tree,2
Intervals / Geometry / Coordinates,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick + Intervals/Geometry,Canonical: Range query / update segment tree,2
Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Difference-array accumulation,+ Intervals/Geometry,Canonical: Prefix/Suffix extrema accumulation,2
Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Difference-array accumulation,None,Canonical: Prefix/Suffix extrema accumulation,2
Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map,Canonical: Range Sum Query,2
Tree / Trie,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix,Canonical: Exact custom named technique,2
Tree / Trie,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix + String Parsing,Canonical: Exact custom named technique,2
Tree / Trie,Counting,Count-driven scan,+ Math,Canonical: Frequency counting,2
Tree / Trie,Binary Search,Answer-space binary search,None,Canonical: Koko Eating Bananas,2
Tree / Trie,Heap,Priority-based selection,None,Canonical: Top K Frequent Elements / merge-k,2
Array / Sequence,Dynamic Programming,Memoized DP,None,Canonical: Coin Change (top-down),2
Tree / Trie,Tree,Recursive subtree aggregation,+ Counting,Canonical: Binary Tree recursion,2
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Math + Intervals/Geometry,Canonical: Text-processing pipeline,2
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Queue/Deque,Canonical: Text-processing pipeline,2
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Sorting + Memoization,Canonical: Text-processing pipeline,2
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Counting + Math,Canonical: Text-processing pipeline,2
Object / Process / API,Shell / Unix,Pipeline / text processing,+ Hash Map,Canonical: Text-processing pipeline,2
Object / Process / API,Design / Process / JS,Object / API behavior,+ Stack + Memoization,Canonical: API / object-behavior design,2
Object / Process / API,Design / Process / JS,Generator / iterator protocol,None,Canonical: API / object-behavior design,2
Object / Process / API,Design / Process / JS,Object / API behavior,+ Hash Map,Canonical: API / object-behavior design,2
Object / Process / API,Design / Process / JS,Object / API behavior,+ Heap,Canonical: API / object-behavior design,2
Object / Process / API,Design / Process / JS,Object / API behavior,+ Math,Canonical: API / object-behavior design,2
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ String Parsing,Canonical: Two Sum II / Container With Most Water,2
Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Greedy Check,Canonical: Two Sum II / Container With Most Water,2
Relational Table / SQL,SQL / Window Function,Lead/Lag neighbor rows,+ Sorting,Canonical: Ranking & running-row analytics,2
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Grid,Canonical: Basic filter / reshape / null-handling,2
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Bitmask,Canonical: Basic filter / reshape / null-handling,2
Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Counting,Canonical: Basic filter / reshape / null-handling,2
Relational Table / SQL,SQL / Group By,Grouped aggregation,+ String Parsing,Canonical: Grouped aggregation / departmental summary,2
Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Tree + String Parsing,Canonical: Grouped aggregation / departmental summary,2
Relational Table / SQL,SQL / Join,Key-based row matching,+ Counting,Canonical: Combine Two Tables,2
Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Sorting + Prefix/Suffix,Canonical: Two Sum II / Container With Most Water,2
Array / Sequence,Hash Map,Direct keyed lookup,+ Tree,Canonical: Direct lookup dictionary,2
Array / Sequence,Hash Map,Frequency dictionary,+ Counting + Greedy Check,Canonical: Group Anagrams / frequency map,2
Array / Sequence,Greedy,Sort-then-greedy,+ Sorting + Intervals/Geometry,Canonical: Merge Intervals / scheduling greedy,2
Array / Sequence,Hash Map,Direct keyed lookup,+ Bitmask,Canonical: Direct lookup dictionary,2
Array / Sequence,Dynamic Programming,2D DP,+ Math,Canonical: Edit Distance / Grid DP,2
Tree / Trie,Dynamic Programming,Memoized DP,+ DFS/Recursion,Canonical: Coin Change (top-down),2
Tree / Trie,DFS,Tree DFS,+ Stack,Canonical: Path Sum / subtree DFS,2
Array / Sequence,Binary Search,Exact / partition binary search,+ Hash Map,Canonical: Binary Search / median partition,2
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Sorting + Greedy Check,Canonical: Grid traversal / DP scan,2
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Stack,Canonical: Grid traversal / DP scan,2
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Heap,Canonical: Grid traversal / DP scan,2
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Greedy Check + Math,Canonical: Grid traversal / DP scan,2
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Hash Map,Canonical: Grid traversal / DP scan,2
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Hash Map + Counting,Canonical: Grid traversal / DP scan,2
Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Bitmask,Canonical: Grid traversal / DP scan,2
Matrix / Grid,BFS,Single-source breadth-first traversal,+ Grid,Canonical: Rotting Oranges / 01 Matrix,2
Matrix / Grid,BFS,Single-source breadth-first traversal,+ Graph,Canonical: Rotting Oranges / 01 Matrix,2
Linked List,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,2
Linked List,Simulation / Scan / Precompute,Single-pass scan,None,Canonical: Linear scan with running state,2
Linked List,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,2
Matrix / Grid,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,2
Tree / Trie,Stack,LIFO state maintenance,+ Tree,Canonical: Valid Parentheses,2
Tree / Trie,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Set,Canonical: Longest Substring Without Repeating Characters,2
Array / Sequence,Counting,Count-driven scan,+ Math,Canonical: Frequency counting,2
Tree / Trie,Sliding Window,Fixed-size window,None,Canonical: Fixed-size subarray window,2
Array / Sequence,DFS,Memoized DFS,+ Hash Map,Canonical: Depth-first component exploration,2
Tree / Trie,Divide and Conquer,Recursive split / combine,+ String Parsing,Canonical: Merge-sort / recursive split-combine,2
Array / Sequence,Backtracking,Choice tree with undo,+ Bitmask,Canonical: Permutations / combinations search,1
Array / Sequence,Binary Search,Answer-space binary search,+ Counting,Canonical: Koko Eating Bananas,1
Tree / Trie,Two Pointers,Boundary / pointer sweep,+ Prefix/Suffix,Canonical: Two Sum II / Container With Most Water,1
Tree / Trie,Two Pointers,Center expansion,+ Counting,Canonical: Longest Palindromic Substring,1
Tree / Trie,Union-Find,Connectivity / component merging,+ Math,Canonical: Number of Connected Components / Redundant Connection,1
Array / Sequence,Counting,Count-driven scan,+ Sorting + Greedy Check,Canonical: Frequency counting,1
Array / Sequence,Counting,Frequency counting,+ Sorting + Greedy Check,Canonical: Frequency counting,1
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Graph + Math,Canonical: Exact custom named technique,1
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Hash Map,Canonical: Exact custom named technique,1
Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Hash Map + Prefix/Suffix + Queue/Deque,Canonical: Exact custom named technique,1
Tree / Trie,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map,Canonical: Range Sum Query,1
Tree / Trie,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map + Counting,Canonical: Range Sum Query,1
Tree / Trie,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map + Math,Canonical: Range Sum Query,1
Tree / Trie,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,1
Tree / Trie,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,1
Tree / Trie,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick,Canonical: Range query / update segment tree,1
Tree / Trie,Shortest Path / Flow,0-1 shortest path,+ Queue/Deque,Canonical: 0-1 BFS shortest path,1
Tree / Trie,Two Pointers,Boundary / pointer sweep,+ Math,Canonical: Two Sum II / Container With Most Water,1
Tree / Trie,Hash Map,Frequency dictionary,+ Counting + Sorting,Canonical: Group Anagrams / frequency map,1
Tree / Trie,Hash Set,Uniqueness / seen-set check,+ Greedy Check,Canonical: Contains Duplicate / seen-set uniqueness,1
Tree / Trie,Heap,Priority-based selection,+ Memoization,Canonical: Top K Frequent Elements / merge-k,1
Tree / Trie,Math / Number Theory,Formula / constructive math,+ Bitmask + Tree + Segment/Fenwick,Canonical: Mathematical invariant,1
