ID,Problem Title,data_shape,primary_engine,variation,composite_helper,canonical_link,opt_time_budget,opt_space_budget,draw_anatomy_bucket
302,Smallest Rectangle Enclosing Black Pixels,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(M log N + N log M),O(1),Grid / board canvas
303,Range Sum Query - Immutable,Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,O(1),O(N),Strip / timeline / pointer canvas
304,Range Sum Query 2D - Immutable,Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,O(1),O(M· N),Grid / board canvas
305,Number of Islands II,Graph / Network,Union-Find,Connectivity / component merging,None,Canonical: Number of Connected Components / Redundant Connection,O(α(N),O(V),Relational table canvas
306,Additive Number,Number / Bit / Math,Backtracking,Choice tree with undo,+ Prefix/Suffix,Canonical: Permutations / combinations search,O(branch^depth),O(1),Coordinate-plane canvas
307,Range Sum Query - Mutable,Intervals / Geometry / Coordinates,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick,Canonical: Range query / update segment tree,O(log N),O(N),Range / bit-state canvas
308,Range Sum Query 2D - Mutable,Intervals / Geometry / Coordinates,Fenwick / Sparse Table,Fenwick prefix aggregate,+ Tree + Segment/Fenwick,Canonical: Fenwick tree / Binary Lifting,O(log M · log N),O(N),Range / bit-state canvas
309,Best Time to Buy and Sell Stock with Cooldown,Number / Bit / Math,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N),O(1),Graph / state-network canvas
310,Minimum Height Trees,Tree / Trie,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting,Canonical: Course Schedule,O(N),O(V),Node-link canvas (tree/list/trie)
311,Sparse Matrix Multiplication,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Intervals/Geometry,Canonical: Text-processing pipeline,O(M· K· N),O(Memory),Grid / board canvas
312,Burst Balloons,Array / Sequence,Dynamic Programming,Memoized DP,None,Canonical: Coin Change (top-down),O(N^3),O(N^2),State-table / recurrence canvas
313,Super Ugly Number,Number / Bit / Math,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N · K),O(states),Graph / state-network canvas
314,Binary Tree Vertical Order Traversal,Tree / Trie,BFS,Single-source breadth-first traversal,+ Hash Map,Canonical: Binary Tree Level Order Traversal,O(N),O(N),Node-link canvas (tree/list/trie)
315,Count of Smaller Numbers After Self,Number / Bit / Math,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(N),O(N),Strip / timeline / pointer canvas
316,Remove Duplicate Letters,Array / Sequence,Monotonic Stack,Next-greater / monotonic boundary stack,+ Hash Map + Counting + Greedy Check,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(1),Container canvas (stack/queue/heap)
317,Shortest Distance from All Buildings,Matrix / Grid,BFS,Multi-source / layered BFS,None,Canonical: Rotting Oranges / 01 Matrix,O(K · M · N),O(M· N),Grid / board canvas
318,Maximum Product of Word Lengths,String / Text,Bit / Mask,Subset mask state,None,Canonical: Bitmask subset DP,O(N^2 + N· L),O(N),Range / bit-state canvas
319,Bulb Switcher,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(1),O(1),Coordinate-plane canvas
320,Generalized Abbreviation,Array / Sequence,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,O(2^n),O(N),Strip / timeline / pointer canvas
321,Create Maximum Number,Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,+ Graph,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(k),Container canvas (stack/queue/heap)
322,Coin Change,Array / Sequence,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(S x n),O(S),State-table / recurrence canvas
323,Number of Connected Components,Graph / Network,Union-Find,Connectivity / component merging,None,Canonical: Number of Connected Components / Redundant Connection,O(E α(V),O(V),Relational table canvas
324,Wiggle Sort II,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Sorting,Canonical: Exact custom named technique,O(n),O(1),Coordinate-plane canvas
325,Max Size Subarray Sum Equals k,Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Hash Map,Canonical: Range Sum Query,O(n),O(n),Lookup-table / bucket canvas
326,Power of Three,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(1),O(1),Formula / invariant canvas
327,Count of Range Sum,Intervals / Geometry / Coordinates,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(N),O(N),Coordinate-plane canvas
328,Odd Even Linked List,Linked List,Linked List,Pointer manipulation on list nodes,None,Canonical: Pointer rewiring on linked list,O(N),O(1),Node-link canvas (tree/list/trie)
329,Longest Increasing Path in a Matrix,Graph / Network,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting + Memoization,Canonical: Course Schedule,O(MN),O(MN),Grid / board canvas
330,Patching Array,Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Strip / timeline / pointer canvas
331,Verify Preorder Serialization of a Binary Tree,Tree / Trie,Graph,General graph modeling,+ Counting,Canonical: General graph construction,O(N),O(1),Node-link canvas (tree/list/trie)
332,Reconstruct Itinerary,Array / Sequence,DFS,Depth-first traversal,+ Graph,Canonical: Depth-first component exploration,O(E log E),O(V + E),Coordinate-plane canvas
333,Largest BST Subtree,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N),O(H),Node-link canvas (tree/list/trie)
334,Increasing Triplet Subsequence,String / Text,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Strip / timeline / pointer canvas
335,Self Crossing,Array / Sequence,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(1),Coordinate-plane canvas
336,Palindrome Pairs,Tree / Trie,Trie,Prefix-tree traversal / insertion,+ Prefix/Suffix + String Parsing,Canonical: Implement Trie (Prefix Tree),O(N · K^2),O(N · K),Node-link canvas (tree/list/trie)
337,House Robber III,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N),O(H),State-table / recurrence canvas
338,Counting Bits,Number / Bit / Math,Dynamic Programming,State-transition DP,+ Tree + Segment/Fenwick,Canonical: Coin Change / state-transition DP,O(N),O(N),State-table / recurrence canvas
339,Nested List Weight Sum,Linked List,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,O(N),O(D),Coordinate-plane canvas
340,Longest Substring with At Most K Distinct Characters,Tree / Trie,Sliding Window,Variable-size + frequency/uniqueness control,+ Hash Map,Canonical: Longest Substring Without Repeating Characters,O(N),O(K),Node-link canvas (tree/list/trie)
341,Flatten Nested List Iterator,Linked List,DFS,Depth-first traversal,+ Stack,Canonical: Depth-first component exploration,O(1),O(D),Container canvas (stack/queue/heap)
342,Power of Four,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,O(1),O(1),Range / bit-state canvas
343,Integer Break,Number / Bit / Math,Dynamic Programming,State-transition DP,+ Math,Canonical: Coin Change / state-transition DP,O(N),O(1),State-table / recurrence canvas
344,Reverse String,String / Text,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N/2),O(1),Coordinate-plane canvas
345,Reverse Vowels of a String,String / Text,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
346,Moving Average from Data Stream,Array / Sequence,Queue / Deque,Deque-backed range/window state,+ Prefix/Suffix,Canonical: Sliding Window Maximum,O(1),O(W),Container canvas (stack/queue/heap)
347,Top K Frequent Elements,Array / Sequence,Heap,Top-K / best-first selection,+ Sorting,Canonical: Top K Frequent Elements / merge-k,O(N),O(N),Container canvas (stack/queue/heap)
348,Design Tic-Tac-Toe,Matrix / Grid,Counting,Count-driven scan,+ Grid,Canonical: Frequency counting,O(1),O(N),Grid / board canvas
349,Intersection of Two Arrays,Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Hash Set,Canonical: Exact custom named technique,O(N + M),"O(min(N, M)",Lookup-table / bucket canvas
350,Intersection of Two Arrays II,Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Hash Map + Counting + Sorting,Canonical: Two Sum II / Container With Most Water,O(N log N + M log M),"O(min(N, M)",Lookup-table / bucket canvas
351,Android Unlock Patterns,Matrix / Grid,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,O(9!),O(1),Grid / board canvas
352,Data Stream as Disjoint Intervals,Tree / Trie,Tree,Recursive subtree aggregation,+ Hash Map + Sorting,Canonical: Binary Tree recursion,O(log N),O(N),Relational table canvas
353,Design Snake Game,Array / Sequence,Queue / Deque,Deque-backed range/window state,+ Hash Set,Canonical: Sliding Window Maximum,O(1),O(N),Container canvas (stack/queue/heap)
354,Russian Doll Envelopes,Array / Sequence,Binary Search,Exact / partition binary search,+ Sorting,Canonical: Binary Search / median partition,O(N log N),O(N),Strip / timeline / pointer canvas
355,Design Twitter,Array / Sequence,Heap,Priority-based selection,None,Canonical: Top K Frequent Elements / merge-k,O(10 · log F),O(U + T),Container canvas (stack/queue/heap)
356,Line Reflection,Intervals / Geometry / Coordinates,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Lookup-table / bucket canvas
357,Count Numbers with Unique Digits,Number / Bit / Math,Backtracking,Permutation / choice-tree generation,+ Math,Canonical: Permutations / combinations search,O(N),O(1),Formula / invariant canvas
358,Rearrange String k Distance Apart,Intervals / Geometry / Coordinates,Heap,Top-K / best-first selection,+ Queue/Deque + Greedy Check,Canonical: Top K Frequent Elements / merge-k,O(N log 26),O(1),Container canvas (stack/queue/heap)
359,Logger Rate Limiter,Array / Sequence,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(1),O(Unique Messages),Lookup-table / bucket canvas
360,Sort Transformed Array,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(N),Coordinate-plane canvas
361,Bomb Enemy,Graph / Network,Dynamic Programming,State-transition DP,+ Grid,Canonical: Coin Change / state-transition DP,O(MN),O(N),Grid / board canvas
362,Design Hit Counter,Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Queue/Deque,Canonical: Exact custom named technique,O(300),O(1),Lookup-table / bucket canvas
363,Max Sum of Rectangle No Larger Than K,Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,+ Sorting + Tree,Canonical: Range Sum Query,O(N^2 · M log M),O(M),Grid / board canvas
364,Nested List Weight Sum II,Linked List,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(N),Lookup-table / bucket canvas
365,Water and Jug Problem,Intervals / Geometry / Coordinates,Math / Number Theory,Divisor / number theory,None,Canonical: Count Primes / GCD-LCM family,"O(log(min(x, y)",O(1),Formula / invariant canvas
366,Find Leaves of Binary Tree,Object / Process / API,Shell / Unix,Pipeline / text processing,None,Canonical: Text-processing pipeline,O(N),O(N),Node-link canvas (tree/list/trie)
367,Valid Perfect Square,Array / Sequence,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,O(log N),O(1),Strip / timeline / pointer canvas
368,Largest Divisible Subset,Array / Sequence,Dynamic Programming,State-transition DP,+ Sorting,Canonical: Coin Change / state-transition DP,O(N^2),O(N),State-table / recurrence canvas
369,Plus One Linked List,Linked List,Two Pointers,Boundary / pointer sweep,None,Canonical: Merge / reverse linked-list pointers,O(N),O(1),Node-link canvas (tree/list/trie)
370,Range Addition,Intervals / Geometry / Coordinates,Prefix / Suffix Precompute,Difference-array accumulation,None,Canonical: Prefix/Suffix extrema accumulation,O(k + N),O(1),Strip / timeline / pointer canvas
371,Sum of Two Integers,Number / Bit / Math,Bit / Mask,XOR / parity logic,+ Math,Canonical: Single Number / XOR invariant,O(1),O(1),Formula / invariant canvas
372,Super Pow,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(text{len}(b),O(text{len}(b),Node-link canvas (tree/list/trie)
373,Find K Pairs with Smallest Sums,Graph / Network,Shortest Path / Flow,Weighted shortest path,+ Heap,Canonical: Network Delay Time,O(k log k),O(k),Container canvas (stack/queue/heap)
374,Guess Number Higher or Lower,Number / Bit / Math,Binary Search,Exact / partition binary search,None,Canonical: Binary Search / median partition,O(log n),O(1),Strip / timeline / pointer canvas
375,Guess Number Higher or Lower II,Matrix / Grid,Dynamic Programming,Interval DP,+ Intervals/Geometry,Canonical: Coin Change / state-transition DP,O(n^3),O(n^2),Grid / board canvas
376,Wiggle Subsequence,String / Text,Counting,Count-driven scan,+ Greedy Check,Canonical: Frequency counting,O(N),O(1),Graph / state-network canvas
377,Combination Sum IV,Matrix / Grid,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(text{Target} x N),O(text{Target}),Grid / board canvas
378,Kth Smallest Element in a Sorted Matrix,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(N log(text{Max} - text{Min}),O(1),Grid / board canvas
379,Design Phone Directory,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Hash Set + Queue/Deque,Canonical: Exact custom named technique,O(1),O(N),Container canvas (stack/queue/heap)
380,Insert Delete GetRandom O(1),Number / Bit / Math,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(1),O(N),Lookup-table / bucket canvas
381,Insert Delete GetRandom O(1) - Duplicates allowed,Number / Bit / Math,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(1),O(N),Lookup-table / bucket canvas
382,Linked List Random Node,Linked List,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Node-link canvas (tree/list/trie)
383,Ransom Note,Array / Sequence,Counting,Frequency counting,+ Sorting,Canonical: Frequency counting,O(N+M),O(1),Lookup-table / bucket canvas
384,Shuffle an Array,Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(N),Strip / timeline / pointer canvas
385,Mini Parser,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Stack,Canonical: Text-processing pipeline,O(N),O(D),Container canvas (stack/queue/heap)
386,Lexicographical Numbers,Graph / Network,DFS,Depth-first traversal,+ Tree,Canonical: Depth-first component exploration,O(N),O(log_{10} N),Graph / state-network canvas
387,First Unique Character in a String,String / Text,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(1),Lookup-table / bucket canvas
388,Longest Absolute File Path,Graph / Network,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,O(N),O(text{Depth}),Container canvas (stack/queue/heap)
389,Find the Difference,Number / Bit / Math,Bit / Mask,XOR / parity logic,+ Tree + Segment/Fenwick,Canonical: Single Number / XOR invariant,O(N),O(1),Formula / invariant canvas
390,Elimination Game,Array / Sequence,Simulation / Scan / Precompute,State-tracking simulation,None,Canonical: Direct simulation,O(log N),O(1),Coordinate-plane canvas
391,Perfect Rectangle,Intervals / Geometry / Coordinates,Hash Set,Uniqueness / seen-set check,+ Counting,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Coordinate-plane canvas
392,Is Subsequence,String / Text,Two Pointers,Boundary / pointer sweep,+ Greedy Check,Canonical: Two Sum II / Container With Most Water,O(|t|),O(1),Coordinate-plane canvas
393,UTF-8 Validation,Number / Bit / Math,Bit / Mask,Subset mask state,+ Tree + Segment/Fenwick,Canonical: Bitmask subset DP,O(N),O(1),Range / bit-state canvas
394,Decode String,String / Text,Stack,Dual-stack transfer / evaluation,+ Counting,Canonical: Valid Parentheses,O(text{Output Length}),O(N),Container canvas (stack/queue/heap)
395,Longest Substring with At Least K Repeating Characters,Tree / Trie,Divide and Conquer,Recursive split / combine,None,Canonical: Merge-sort / recursive split-combine,O(N^2),O(N),Node-link canvas (tree/list/trie)
396,Rotate Function,Array / Sequence,Dynamic Programming,State-transition DP,+ Math,Canonical: Coin Change / state-transition DP,O(n),O(1),State-table / recurrence canvas
397,Integer Replacement,Number / Bit / Math,Greedy,Local-choice optimization,+ Bitmask + Tree + Segment/Fenwick,Canonical: Gas Station / local-choice greedy,O(log n),O(1),Strip / timeline / pointer canvas
398,Random Pick Index,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,+ Memoization,Canonical: Exact custom named technique,O(n),O(1),State-table / recurrence canvas
399,Evaluate Division,Graph / Network,Union-Find,Connectivity / component merging,None,Canonical: Number of Connected Components / Redundant Connection,O(Q · (V+E),O(V+E),Relational table canvas
400,Nth Digit,Number / Bit / Math,Binary Search,Exact / partition binary search,+ Math + Intervals/Geometry,Canonical: Binary Search / median partition,O(log n),O(1),Formula / invariant canvas
401,Binary Watch,Number / Bit / Math,Backtracking,Choice tree with undo,None,Canonical: Permutations / combinations search,O(10 C k),O(depth),Coordinate-plane canvas
402,Remove K Digits,Number / Bit / Math,Monotonic Stack,Next-greater / monotonic boundary stack,+ Math,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(N),Container canvas (stack/queue/heap)
403,Frog Jump,Array / Sequence,Hash Map,Direct keyed lookup,+ Hash Set,Canonical: Direct lookup dictionary,O(N^2),O(N^2),Lookup-table / bucket canvas
404,Sum of Left Leaves,Array / Sequence,BFS,Single-source breadth-first traversal,None,Canonical: Shortest-path layer BFS,O(N),O(H),Node-link canvas (tree/list/trie)
405,Convert a Number to Hexadecimal,Number / Bit / Math,Bit / Mask,Bitwise state manipulation,+ Tree + Segment/Fenwick,Canonical: Bit manipulation,O(1),O(1),Lookup-table / bucket canvas
406,Queue Reconstruction by Height,Array / Sequence,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(N log N),O(N),Container canvas (stack/queue/heap)
407,Trapping Rain Water II,Intervals / Geometry / Coordinates,BFS,Single-source breadth-first traversal,+ Heap,Canonical: Shortest-path layer BFS,O(MN log(MN),O(MN),Container canvas (stack/queue/heap)
408,Valid Word Abbreviation,String / Text,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Coordinate-plane canvas
409,Longest Palindrome,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Hash Map + Counting,Canonical: Basic filter / reshape / null-handling,O(N),O(1),Lookup-table / bucket canvas
410,Split Array Largest Sum,Array / Sequence,Binary Search,Answer-space binary search,+ Counting,Canonical: Koko Eating Bananas,O(N),O(1),Lookup-table / bucket canvas
411,Minimum Unique Word Abbreviation,String / Text,DFS,Depth-first traversal,+ Bitmask,Canonical: Depth-first component exploration,O(V+E),O(N),Range / bit-state canvas
412,Fizz Buzz,Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ String Parsing,Canonical: Exact custom named technique,O(N),O(N),Formula / invariant canvas
413,Arithmetic Slices,Array / Sequence,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),State-table / recurrence canvas
414,Third Maximum Number,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Container canvas (stack/queue/heap)
415,Add Strings,String / Text,Two Pointers,Boundary / pointer sweep,+ String Parsing + Math,Canonical: Two Sum II / Container With Most Water,O(N),"O(Max(L1, L2)",Container canvas (stack/queue/heap)
416,Partition Equal Subset Sum,Matrix / Grid,Dynamic Programming,1D DP,None,Canonical: Climbing Stairs / House Robber,O(N · TargetSum),O(TargetSum),Grid / board canvas
417,Pacific Atlantic Water Flow,Matrix / Grid,BFS,Multi-source / layered BFS,None,Canonical: Rotting Oranges / 01 Matrix,O(M· N),O(M· N),Grid / board canvas
418,Sentence Screen Fitting,Relational Table / SQL,SQL / Join,Key-based row matching,None,Canonical: Combine Two Tables,O(Rows + SentenceLength),O(SentenceLength),Relational table canvas
419,Battleships in a Board,Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Counting,Canonical: Grid traversal / DP scan,O(M· N),O(1),Grid / board canvas
420,Strong Password Checker,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Greedy Check,Canonical: Basic filter / reshape / null-handling,O(N),O(1),Lookup-table / bucket canvas
421,Max XOR of Two Numbers,Tree / Trie,Trie,Prefix-tree traversal / insertion,+ Bitmask + Segment/Fenwick,Canonical: Implement Trie (Prefix Tree),O(N x 32),O(N),Node-link canvas (tree/list/trie)
422,Valid Word Square,Matrix / Grid,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(C),O(1),Grid / board canvas
423,Reconstruct Digits from English,Number / Bit / Math,Counting,Count-driven scan,None,Canonical: Frequency counting,O(N),O(1),Lookup-table / bucket canvas
424,Longest Repeating Char Replacement,Array / Sequence,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(1),Coordinate-plane canvas
425,Word Squares,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Prefix/Suffix + Trie,Canonical: Text-processing pipeline,Custom / source-specific,Custom / source-specific,Grid / board canvas
426,Convert BST to Sorted DLL,Tree / Trie,Tree,Inorder traversal / BST order,None,Canonical: Inorder Traversal / BST validation,O(N),O(H),Node-link canvas (tree/list/trie)
427,Construct Quad Tree,Tree / Trie,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N^2),O(N^2),Grid / board canvas
428,Serialize/Deserialize N-ary Tree,Tree / Trie,Tree,Recursive subtree aggregation,+ Counting,Canonical: Binary Tree recursion,O(N),O(N),Node-link canvas (tree/list/trie)
429,N-ary Tree Level Order Traversal,Tree / Trie,BFS,Single-source breadth-first traversal,None,Canonical: Binary Tree Level Order Traversal,O(N),O(W),Container canvas (stack/queue/heap)
430,Flatten Multilevel DLL,Array / Sequence,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,O(N),O(N),Container canvas (stack/queue/heap)
431,Encode N-ary Tree to Binary Tree,Tree / Trie,DFS,Tree DFS,None,Canonical: Path Sum / subtree DFS,O(N),O(H),Node-link canvas (tree/list/trie)
432,All O`one Data Structure,Linked List,Linked List,Pointer manipulation on list nodes,+ Hash Map + Counting,Canonical: Pointer rewiring on linked list,O(1),O(N),Node-link canvas (tree/list/trie)
433,Minimum Genetic Mutation,Graph / Network,Shortest Path / Flow,Weighted graph optimization,+ Hash Set + Queue/Deque,Canonical: Weighted shortest path,O(B · L · N),O(B),Container canvas (stack/queue/heap)
434,Number of Segments in a String,String / Text,Simulation / Scan / Precompute,Single-pass scan,+ Counting,Canonical: Linear scan with running state,O(N),O(1),Strip / timeline / pointer canvas
435,Non-overlapping Intervals,Intervals / Geometry / Coordinates,Greedy,Local-choice optimization,+ Sorting + Intervals/Geometry,Canonical: Gas Station / local-choice greedy,O(N log N),O(1),Strip / timeline / pointer canvas
436,Find Right Interval,Intervals / Geometry / Coordinates,Binary Search,Exact / partition binary search,+ Sorting,Canonical: Binary Search / median partition,O(N log N),O(N),Strip / timeline / pointer canvas
437,Path Sum III,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Hash Map + Counting + Prefix/Suffix,Canonical: Basic filter / reshape / null-handling,O(N),O(H),Node-link canvas (tree/list/trie)
438,Find All Anagrams in a String,String / Text,Sliding Window,Variable-size window,+ Hash Map + Counting,Canonical: Minimum Window / variable-size window,O(1),O(1),Lookup-table / bucket canvas
439,Ternary Expression Parser,Object / Process / API,Shell / Unix,Pipeline / text processing,+ Stack,Canonical: Text-processing pipeline,O(N),O(N),Container canvas (stack/queue/heap)
440,K-th Smallest in Lexicographical Order,Graph / Network,Custom Exact Technique,Exact custom / named technique,+ Prefix/Suffix + Tree,Canonical: Exact custom named technique,O(log N · log N),O(1),Node-link canvas (tree/list/trie)
441,Arranging Coins,Array / Sequence,Binary Search,Exact / partition binary search,+ Math,Canonical: Binary Search / median partition,O(log N),O(1),Formula / invariant canvas
442,Find All Duplicates in an Array,Array / Sequence,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(1),O(1),Coordinate-plane canvas
443,String Compression,String / Text,Two Pointers,Boundary / pointer sweep,None,Canonical: Two Sum II / Container With Most Water,O(N),O(1),Lookup-table / bucket canvas
444,Sequence Reconstruction,Graph / Network,Topological Sort,DAG ordering / prerequisite resolution,+ Sorting,Canonical: Course Schedule,O(V + E),O(N),Node-link canvas (tree/list/trie)
445,Add Two Numbers II,Number / Bit / Math,Stack,Dual-stack transfer / evaluation,None,Canonical: Valid Parentheses,O(N+M),O(N+M),Container canvas (stack/queue/heap)
446,Arithmetic Slices II - Subsequence,Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Hash Map + Counting,Canonical: Grid traversal / DP scan,O(N^2),O(N^2),Grid / board canvas
447,Number of Boomerangs,Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N^2),O(N),Lookup-table / bucket canvas
448,Find All Numbers Disappeared in an Array,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Coordinate-plane canvas
449,Serialize and Deserialize BST,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N),O(N),Node-link canvas (tree/list/trie)
450,Delete Node in a BST,Tree / Trie,Tree,Inorder traversal / BST order,None,Canonical: Inorder Traversal / BST validation,O(H),O(H),Node-link canvas (tree/list/trie)
451,Sort Characters By Frequency,String / Text,Counting,Frequency counting,+ Sorting,Canonical: Frequency counting,O(N),O(N),Lookup-table / bucket canvas
452,Minimum Number of Arrows to Burst Balloons,Number / Bit / Math,Greedy,Local-choice optimization,+ Sorting + Intervals/Geometry,Canonical: Gas Station / local-choice greedy,O(N log N),O(1),Coordinate-plane canvas
453,Minimum Moves to Equal Array Elements,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Strip / timeline / pointer canvas
454,4Sum II,Array / Sequence,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N^2),O(N^2),Lookup-table / bucket canvas
455,Assign Cookies,Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Sorting + Greedy Check + Math,Canonical: Two Sum II / Container With Most Water,O(N log N),O(1),Coordinate-plane canvas
456,132 Pattern,String / Text,Monotonic Stack,Next-greater / monotonic boundary stack,None,Canonical: Daily Temperatures / Largest Rectangle,O(N),O(N),Container canvas (stack/queue/heap)
457,Circular Array Loop,Linked List,Linked List,Pointer manipulation on list nodes,None,Canonical: Pointer rewiring on linked list,O(N),O(1),Coordinate-plane canvas
458,Poor Pigs,Matrix / Grid,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(1),O(1),Grid / board canvas
459,Repeated Substring Pattern,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N),O(N),Node-link canvas (tree/list/trie)
460,LFU Cache,Linked List,Linked List,Pointer manipulation on list nodes,+ Hash Map + Counting,Canonical: Pointer rewiring on linked list,O(1),O(N),Node-link canvas (tree/list/trie)
461,Hamming Distance,Intervals / Geometry / Coordinates,Hash Set,Uniqueness / seen-set check,+ Counting + Bitmask + Tree,Canonical: Contains Duplicate / seen-set uniqueness,O(text{set bits}),O(1),Coordinate-plane canvas
462,Min Moves to Equal Elements II,Array / Sequence,Greedy,Local-choice optimization,+ Sorting,Canonical: Gas Station / local-choice greedy,O(N log N),O(1),Coordinate-plane canvas
463,Island Perimeter,Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Counting,Canonical: Grid traversal / DP scan,O(M x N),O(1),Grid / board canvas
