ID,Problem Title,Optimised Pattern,How to Draw (Opt),Anatomy Bucket
1033,Moving Stones Until Consecutive,Greedy / Case Analysis.,"Draw a number line with 3 dots. Count the 'empty' slots between them. Write Max = gap1 + gap2. For Min, check if stones are touching or nearly touching.",Strip / timeline / pointer canvas
1034,Coloring A Border,DFS / BFS with Connectivity Logic.,Draw a grid. Shade the connected component. Use a different color to trace ONLY the outer edge of that shape and internal boundaries.,Grid / board canvas
1035,Uncrossed Lines,Dynamic Programming (Longest Common Subsequence).,"Draw an (M+1) x (N+1) grid. At each cell `(i, j)`, if numbers match, `dp[i][j] = dp[i-1][j-1] + 1`. Else, `max(dp[i-1][j], dp[i][j-1])`.",Grid / board canvas
1036,Escape a Large Maze,Bounded BFS / Geometric Limitation.,Draw a cluster of 5 blocks. Draw a circle around 'S' that expands until it either touches 'T' or grows larger than the enclosure capacity.,Coordinate-plane canvas
1037,Valid Boomerang,Math (Cross Product / Slope Comparison).,"Write the coordinates. Calculate `dy1 * dx2` and `dy2 * dx1`. If the results are different, it's a boomerang.",Coordinate-plane canvas
1038,Binary Search Tree to Greater Sum Tree,Reverse In-order Traversal (Right -> Root -> Left).,"Draw a BST. Write a number `0` on the side. Go to the max node, add its value to your side number, update the node with that sum. Follow the path Right-Root-Left.",Node-link canvas (tree/list/trie)
1039,Minimum Score Triangulation of Polygon,Dynamic Programming (Matrix Chain Multiplication style).,"Draw a polygon. Label vertices 0 to N. Create a 2D table. Fill it diagonally, starting with gaps of size 2, then 3, until you reach the gap size of N.",Grid / board canvas
1040,Moving Stones Until Consecutive II,Sliding Window + Mathematical Logic.,"Draw a number line. Mark stones. Use a bracket of width N. Slide it left to right. Count ""empty spots"" in the bracket at each step. Record the minimum.",Strip / timeline / pointer canvas
1041,Robot Bounded In Circle,Vector Math / State Check.,"Draw a small coordinate plane. Mark (0,0). Trace one cycle. Draw an arrow for the final position and a small compass for the final direction.",Coordinate-plane canvas
1042,Flower Planting With No Adjacent,Greedy Coloring.,"Draw the graph (dots and lines). At each dot, write ""Available: 1, 2, 3, 4"". Cross out colors used by connected neighbors. Write the first remaining number.",Graph / state-network canvas
1043,Partition Array for Maximum Sum,Dynamic Programming (Linear).,"Draw the array. Below it, draw a `dp` array. For `dp[i]`, draw K small brackets looking backwards. Pick the best one and fill the `dp` cell.",Grid / board canvas
1044,Longest Duplicate Substring,Binary Search on Length + Rolling Hash (Rabin-Karp).,"Draw a number line for length 0 to N. Mark `mid`. For length `mid`, draw the sliding window. Write the hash formula `(h * base + char) % mod`.",Node-link canvas (tree/list/trie)
1045,Customers Who Bought All Products,Group By + Having Count (Distinct).,"Draw the Customer table. Circle unique product keys per ID. Write the count. Separately, count the Product table. Draw an equal sign between the counts.",Relational table canvas
1046,Last Stone Weight,Max-Heap (Priority Queue).,Draw a Max-Heap (Binary Tree). Show the two heaviest stones at the top being removed. Show the remainder bubbling down or up.,Container canvas (stack/queue/heap)
1047,Remove All Adjacent Duplicates In String,Stack (LIFO processing).,"Draw a U-shape (stack). Put 'a' in. 'b' enters. Another 'b' enters? Pop 'b'. 'a' enters? Pop 'a'. Final 'c', 'a' stay.",Container canvas (stack/queue/heap)
1048,Longest String Chain,Dynamic Programming + Hashing (Sorting by Length).,"Draw words sorted by length. For ""abcd"", check ""bcd"", ""acd"", ""abd"", ""abc"" in your DP map. Chain length = `max(parents) + 1`.",Lookup-table / bucket canvas
1049,Last Stone Weight II,Dynamic Programming (0/1 Knapsack variation).,"Draw a 1D DP array of size `Sum/2`. For each stone, update the array from right to left (Knapsack style).",State-table / recurrence canvas
1050,Actors and Directors Who Cooperated At Least Three Times,Group By + Having.,"Draw a table with 3 columns: Actor, Director, Count. Every time you see a pair, increment its Count. Circle rows where Count >= 3.",Relational table canvas
1051,Height Checker,Sorting Comparison or Counting Sort.,"Draw the Input Array. Directly below it, draw the Sorted Array. Circle the indices where the numbers don't match. Count the circles.",Coordinate-plane canvas
1052,Grumpy Bookstore Owner,Sliding Window (Fixed Size).,"Draw the array. Below it, write the number of ""unhappy"" customers (where grumpy=1). Slide a window of size K over these numbers and find the max sum.",Strip / timeline / pointer canvas
1053,Previous Permutation With One Swap,Greedy (Right-to-Left Scan).,Draw the array. Move an arrow from right to left. Stop when numbers stop decreasing. Then look right for the biggest number smaller than the current. Swap them.,Strip / timeline / pointer canvas
1054,Distant Barcodes,Greedy + Frequency Fill (Even/Odd Interleaving).,"Draw N empty boxes. Sort numbers by count. Fill boxes 0, 2, 4... then 1, 3, 5... with the sorted numbers.",Lookup-table / bucket canvas
1055,Shortest Way to Form String,Greedy (Two Pointers / Multi-Pass).,"Draw target on top, source below. Draw an arrow moving through target. Each time source finishes, draw a vertical line in target to show one ""pass"".",Coordinate-plane canvas
1056,Confusing Number,Math (Digit Extraction and Remainder).,"Write original N. Below it, write the rotated digits as you extract them. If you see a 2, 3, 4, 5, or 7, draw a big X. Check if `rotated != original`.",Formula / invariant canvas
1057,Campus Bikes,Bucket Sort / Greedy with Priority.,"Draw a table with distance as rows. In each row, list (w, b) pairs. Scan from top row down. Mark 'w' and 'b' as used once assigned.",Lookup-table / bucket canvas
1058,Minimize Rounding Error to Meet Target,Greedy (Sorting by Fractional Part).,"Draw a table: [Original, Floor, Ceil, Diff]. Sort by Diff. Fill 'Floor' for everyone. Change 'Floor' to 'Ceil' for the top `k` rows. Sum the differences.",Strip / timeline / pointer canvas
1059,All Paths from Source Lead to Destination,DFS with State Marking (3-Coloring).,"Draw the graph. Start DFS. Color node gray while searching. If you hit a gray node, draw a cycle symbol. If you hit a node with no arrows out, check if it's the target.",Node-link canvas (tree/list/trie)
1060,Missing Element in Sorted Array,Binary Search (Range-based).,Draw the array. Write `missing` counts below each index. Use Binary Search pointers L and R to narrow down the segment where the Kth missing number lies.,Coordinate-plane canvas
1061,Lexicographically Smallest Equivalent String,Union-Find (DSU) with Path Compression.,"Draw 26 dots. Draw lines between equivalent letters. For each group, circle the smallest letter and point all other letters in that group to it.",Graph / state-network canvas
1062,Longest Repeating Substring,Binary Search on Length + Rolling Hash (Rabin-Karp).,"Draw the string. Pick a middle length. Use a sliding window to generate hashes. Write hashes into a Set. If a duplicate exists, mark ""True"".",Node-link canvas (tree/list/trie)
1063,Number of Valid Subarrays,Monotonic Stack.,"Draw the array. Put indices on a stack. When a ""smaller"" number appears, pop the stack and draw an arrow from the popped index to the current. Add the distance.",Container canvas (stack/queue/heap)
1064,Fixed Point,Binary Search.,"Draw the array. Compare `mid` to its index. If `arr[mid] < mid`, the ""fix"" must be to the right. Use arrows to narrow the search.",Coordinate-plane canvas
1065,Index Pairs of a String,Trie (Prefix Tree).,"Draw the Trie. Under the text ""ababa"", draw arrows starting at 'a', 'b', etc., tracing paths in the Trie. Mark indices whenever a Trie ""leaf"" or ""word-end"" is hit.",Node-link canvas (tree/list/trie)
1066,Campus Bikes II,DP with Bitmasking.,"Draw a table where rows are workers and columns are bitmasks (e.g., 0110). Fill the table by trying each available bike for the current worker.",Range / bit-state canvas
1067,Digit Count in Range,Math / Digit DP.,"Write the number N. For each position i (units, tens...), look at the prefix and suffix around it to determine how many times `d` rotates into that position.",State-table / recurrence canvas
1068,Product Sales Analysis I,Inner Join.,Draw the Sales table and the Product table side-by-side. Draw lines connecting matching `product_id`s. Show the columns from both merging into a new result row.,Relational table canvas
1069,Product Sales Analysis II,Group By.,Draw the Sales table. Circle all rows with `product_id` 1. Sum their quantities. Do the same for `product_id` 2.,Relational table canvas
1070,Product Sales Analysis III,Subquery with In-Clause or Window Functions.,"Draw the Sales table. Group by PID. For each group, underline the row with the smallest Year. Draw a new table containing only underlined rows.",Relational table canvas
1071,Greatest Common Divisor of Strings,Math (Euclidean GCD Logic).,"Write S1+S2. Below it, write S2+S1. If they look identical, calculate the GCD of their lengths on the side. Slice the first string at that GCD length.",Formula / invariant canvas
1072,Flip Columns For Maximum Number of Equal Rows,Pattern Canonicalization / Hashing.,"Draw the grid. For each row, if it starts with '1', write its flipped version next to it. If it starts with '0', write it as is. Group the identical strings and count.",Grid / board canvas
1073,Adding Two Negabinary Numbers,Bitwise Simulation (Carry Manipulation).,"Write the two arrays one above the other. Add column by column. Write the result and the ""negative carry"" above the next column. Handle the -1 carry case carefully.",Formula / invariant canvas
1074,Number of Submatrices That Sum to Target,2D-to-1D Reduction + Subarray Sum Logic.,"Draw the grid. Pick row 1 and 2. Sum them vertically into a single row. On that single row, run the ""Subarray Sum"" algorithm using a HashMap. Repeat for all row pairs.",Grid / board canvas
1075,Project Employees I,Join + Group By + AVG.,Draw the Project table and Employee table. Connect IDs with lines. Group the resulting rows by project_id and write the calculated average next to each group.,Relational table canvas
1076,Project Employees II,Group By + Having (Subquery Max).,Draw a bar chart of employee counts per project. Draw a horizontal line at the level of the tallest bar. List all bars touching the line.,Relational table canvas
1077,Project Employees III,Window Function (RANK/DENSE_RANK) or Join with Max-Group.,"Draw the joined table. Group by project_id. Within each group, highlight the employee(s) with the highest years. Output those rows.",Relational table canvas
1078,Occurrences After Bigram,Linear Scan / String Splitting.,"Write the words in a horizontal line. Draw a rectangle covering the first two words. If they match the targets, circle the third word. Slide the rectangle one word at a time.",Coordinate-plane canvas
1079,Letter Tile Possibilities,Backtracking + Frequency Array.,"Draw the frequency map {A:2, B:1}. Start DFS. Pick A -> {A:1, B:1}. From there, pick A -> {A:0, B:1} or pick B -> {A:1, B:0}. Count every valid state reached.",Lookup-table / bucket canvas
1080,Insufficient Nodes in Root to Leaf Paths,Post-order Traversal (Bottom-Up Pruning).,"Draw the tree. Write the current 'remaining limit' next to nodes. Start from bottom: if a leaf sum is bad, cross it out. If a parent has no children left, cross it out too.",Node-link canvas (tree/list/trie)
1081,Smallest Subsequence of Distinct Characters,Monotonic Stack + Greedy (Frequency Map).,"Draw a U-shaped stack. List the string. As you process a char, check if it's already in the stack. If not, pop larger tops that appear later. Put char in.",Container canvas (stack/queue/heap)
1082,Sales Analysis I,Group By + Having (Subquery Max).,"Draw the Sales table. Group by Seller. Write total  next to each. Find the highest , then list all Sellers with that .",Relational table canvas
1083,Sales Analysis II,Group By + Having (Conditional Sums).,"Draw the table. Group by Buyer. For each buyer, check: ""Do they have an S8?"" AND ""Do they have 0 iPhones?"".",Relational table canvas
1084,Sales Analysis III,Group By + Having (Min/Max Dates).,"Draw the table. Group by Product. For each group, find the earliest and latest date. If both are in Q1, circle the product name.",Relational table canvas
1085,Sum of Digits in the Minimum Number,Linear Scan + Digit Math.,"Draw array. Point at each number. Circle the smallest. Draw a box for that number and use arrows to ""extract"" the last digit one by one.",Coordinate-plane canvas
1086,High Five,TreeMap + Max-Heap (or Sorting).,"Draw a Map with IDs. Next to each ID, draw a small box (Heap) with 5 slots. Every time a score comes in, if it's bigger than the smallest in the box, swap it.",Container canvas (stack/queue/heap)
1087,Brace Expansion,Backtracking + Sorting Groups.,"Draw layers of dots. First layer: a, b. Second layer: c. Third layer: d, e. Draw every possible path from top to bottom. Each path is a result.",Lookup-table / bucket canvas
1088,Confusing Number II,Digit-based DFS / Backtracking.,"Draw a tree starting at root. Branches: 1, 6, 8, 9. From '1', branches: 10, 11, 16, 18, 19. If a node > N, stop that branch.",Node-link canvas (tree/list/trie)
1089,Duplicate Zeros,Two-Pointer (In-Place).,"Draw the array. Count zeros. Mark where the ""last"" element will end up. Use two arrows pointing at the end, moving left. Copy numbers; when you hit a 0, write it twice.",Coordinate-plane canvas
1090,Largest Values From Labels,Greedy (Sorting).,"Draw a table [Value, Label]. Sort rows by Value. Have a side-table for ""Label Usage"". Mark checks next to rows you pick. Update label counts as you go.",Strip / timeline / pointer canvas
1091,Shortest Path in Binary Matrix,BFS (Level-Order Traversal).,"Draw the grid. Write '1' in (0,0). Write '2' in all its neighbors. Write '3' in all their neighbors. The number at target is your shortest path.",Grid / board canvas
1092,Shortest Common Supersequence,Dynamic Programming (LCS Variation).,"Draw the DP matrix for LCS. Trace the diagonal path from bottom-right to top-left. For horizontal/vertical moves, write down the corresponding character. For diagonals, write the shared character.",Grid / board canvas
1093,Statistics from a Large Sample,Frequency-Based Math.,"Draw the frequency array. Mark ""Total Samples"". Draw an arrow moving through the buckets, accumulating the count until it hits the middle point.",Lookup-table / bucket canvas
1094,Car Pooling,Difference Array / Prefix Sums.,"Draw a timeline 0-1000. At the 'start' mark, write '+ passengers'. At the 'end' mark, write '- passengers'. Sweep across the timeline, keeping a running sum.",Strip / timeline / pointer canvas
1095,Find in Mountain Array,Binary Search (Triple Pass).,Draw a mountain shape. Divide into two zones at the peak. Draw two Binary Search trees (one for each side). Use `target` to narrow the range.,Strip / timeline / pointer canvas
1096,Brace Expansion II,Recursive Descent Parsing / Stack.,"Draw the string. Use vertical bars to represent stack levels. When a brace closes, draw lines showing how strings from the current level multiply into the previous level.",Container canvas (stack/queue/heap)
1097,Game Play Analysis V,Join + Group By (Install Date Logic).,"Draw the Activity table. Create a side table for ""First Login"". Join them. Count how many users have a login exactly 1 day after their first. Group by first date.",Relational table canvas
1098,Unpopular Books,Left Join + Filtering + Having.,Draw the Books table. Cross out books released in the last month. Join remaining with the Orders table (filtered by date). Sum quantities. Highlight books with total < 10.,Relational table canvas
1099,Two Sum Less Than K,Two Pointers (Sort + Shrink).,"Draw a sorted line of numbers. Put an arrow at start and end. If the sum is too high, move the right arrow left. If sum is safe, record it and move the left arrow right.",Coordinate-plane canvas
1100,Find K-Length Substrings With No Repeated Characters,Sliding Window + Frequency Array/Set.,Draw the string. Put 'L' and 'R' pointers at distance K. Slide them together. Write the 26-box frequency array below. Cross out/increment numbers as letters pass.,Node-link canvas (tree/list/trie)
1101,The Earliest Moment When Everyone Become Friends,Union-Find (DSU) with Component Counting.,"Draw N dots. Sort the logs. Draw lines between dots as you read logs. Next to the graph, write ""Islands: N"". Decrement it every time a line connects two separate groups.",Graph / state-network canvas
1102,Path With Maximum Minimum Value,Greedy (Priority Queue / BFS) or Binary Search + DFS.,"Draw the grid. Use a side-list called ""Options (Heap)"". Pick the largest number from the list, mark it on the grid, add its neighbors to the list. Keep track of the lowest number you've picked.",Container canvas (stack/queue/heap)
1103,Distribute Candies to People,Simulation or Mathematical Arithmetic Progression.,"Draw N empty buckets. Write the numbers 1, 2, 3... and ""pour"" them into the buckets sequentially. If the last number is bigger than what's left, pour the remainder.",Lookup-table / bucket canvas
1104,Path In Zigzag Labelled Binary Tree,Math (Symmetry / Bit Manipulation).,"Draw the levels. Write the labels in zigzag. For 14, look at the level above. Find its reflection point. Write the sequence: 14 -> 7 -> ... until 1.",Node-link canvas (tree/list/trie)
1105,Filling Bookcase Shelves,1D Dynamic Programming,"Draw the `dp` array. At index `i`, draw arrows pointing back to `j` (where width constraint holds). Write the `max_height` found in that window.",State-table / recurrence canvas
1106,Parsing A Boolean Expression,Stack (Iterative Evaluation),"Draw an open bucket (stack). Write chars going in. Cross them out as they pop, write 't' or 'f' result back in.",Container canvas (stack/queue/heap)
1107,New Users Daily Count (SQL),Common Table Expression (CTE) / GROUP BY,Draw Input Table -> Funnel (Group by User) -> Filter Block (Date > 90 days) -> Funnel (Group by Date) -> Output Table.,Relational table canvas
1108,Defanging an IP Address,String Builder / Pre-allocated Array,"Draw original array top, new array bottom. Draw straight down arrows for numbers, and diagonal branching arrows mapping '.' to '[', '.', ']'.",Lookup-table / bucket canvas
1109,Corporate Flight Bookings,Difference Array / Prefix Sum,"Draw an array of zeros. Write +k at start index, -k after end index. Draw a second array below it sweeping right, adding the previous value.",Strip / timeline / pointer canvas
1110,Delete Nodes And Return Forest,Post-order DFS Traversal + Hash Set,"Draw tree. Circle nodes to delete. Draw arrows coming *up* from leaves. When hitting a circled node, cross it out, draw a box around its children, pass 'NULL' up.",Node-link canvas (tree/list/trie)
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,Greedy / Parity based on Depth,"Write the string horizontally. Below each character, write the current depth number. Below that, write the modulo (0 or 1). Circle the 0s and 1s.",Coordinate-plane canvas
1112,Highest Grade For Each Student (SQL),Window Function (ROW_NUMBER),"Draw boxes around groups of the same `student_id`. Inside each box, draw a sorted list. Highlight the top row of each box.",Relational table canvas
1113,Reported Posts (SQL),COUNT(DISTINCT) with GROUP BY,"Draw a ""Filter Gate"". Draw buckets for 'spam', 'racism', etc. Drop post IDs into buckets. Cross out duplicate IDs within each bucket.",Relational table canvas
1114,Print in Order,Concurrency: Mutexes / Semaphores / Promises,"Draw three parallel tracks. Draw a locked gate on Track 2 and 3. Draw a ""key"" passing from Track 1 to 2, then 2 to 3.",Lookup-table / bucket canvas
1115,Print FooBar Alternately,Concurrency: Two Alternating Semaphores,"Draw two columns (Foo and Bar). Draw an arrow zigzagging between them, passing a single ""token"" back and forth N times.",Lookup-table / bucket canvas
1116,Print Zero Even Odd,Concurrency: 3 Semaphores,"Draw 3 nodes (Z, E, O). Draw directed arrows: Z to O, O to Z, Z to E, E to Z. Trace a single ""token"" moving back and forth along these paths.",Node-link canvas (tree/list/trie)
1117,Building H2O,Semaphores + CyclicBarrier / Phasers,"Draw a funnel with 3 slots (2 for H, 1 for O). Drop ""tokens"" in. Once all 3 slots are full, draw a water droplet falling out the bottom, and reset the slots.",Lookup-table / bucket canvas
1118,Number of Days in a Month,Pre-computed Array + Leap Year Math,Draw a 12-slot array. Draw a pointer pointing directly to index `M-1`. Draw a side box that adds +1 conditionally.,Coordinate-plane canvas
1119,Remove Vowels from a String,Two Pointers / StringBuilder / RegEx,"Draw the original string on top. Draw an empty array on the bottom. Draw straight down-arrows for consonants, and an 'X' over vowels.",Coordinate-plane canvas
1120,Maximum Average Subtree,Post-order DFS (Bottom-Up),"Draw a tree. Start at leaves. Write `[val, 1]` next to them. Draw arrows moving UP to parents. Combine the arrays at the parent, cross out the old ones.",Node-link canvas (tree/list/trie)
1121,Divide Array Into Increasing Sequences,Greedy / Frequency Counting,Draw a frequency table. Circle the largest frequency. Draw a box representing N slots. Check if max_freq x K fits inside that box.,Lookup-table / bucket canvas
1122,Relative Sort Array,Counting Sort (Frequency Map),"Draw a frequency map (buckets). Draw `arr2` below it. Cross out buckets as you move values from Map to Result. Finally, sort the remaining buckets.",Lookup-table / bucket canvas
1123,Lowest Common Ancestor of Deepest Leaves,Post-order DFS (Depth-Pair Return),"Draw tree. Start at bottom. Pass up `depth` and `node_pointer`. At each parent, if depths from left/right match, update the pointer to 'self'.",Coordinate-plane canvas
1124,Longest Well-Performing Interval,Prefix Sum + Hash Map / Monotonic Stack,"Draw a line graph of the prefix sum. Whenever the line goes above 0, mark the interval. If it dips, find the first time it was one step lower.",Container canvas (stack/queue/heap)
1125,Smallest Sufficient Team,Bitmask DP,"Draw a table where the index is a binary bitmask (e.g., `1011`). Show the bitwise OR operation merging a person's skills into the current mask.",Range / bit-state canvas
1126,Active Businesses,Window Functions / CTEs,"Draw events grouped by type. Draw a horizontal ""Average Line"" for each group. Cross out events under the line. Group remaining by business ID.",Relational table canvas
1127,User Purchase Platform (SQL),CROSS JOIN (Template) + LEFT JOIN,"Draw a 3x3 grid (Rows = Dates, Cols = Platforms). Even if a date has no purchases, the grid cell exists. Fill the grid cells with data from the real table.",Relational table canvas
1128,Number of Equivalent Domino Pairs,Key Normalization + Frequency Map,"Draw a set of buckets labeled by sorted pairs (e.g., ""1-2"", ""2-3""). Drop dominoes into buckets. Write the count next to the bucket.",Lookup-table / bucket canvas
1129,Shortest Path with Alternating Colors,BFS with Multi-State Tracking,"Draw the graph twice (Red layer and Blue layer). An edge in the Red layer takes you to the Blue layer of the destination node. Run standard BFS on this ""Split-Node"" graph.",Graph / state-network canvas
1130,Minimum Cost Tree From Leaf Values,Monotonic Stack / Greedy,"Draw a stack vertically. Push numbers. When a ""valley"" forms (small number between two larger ones), ""crush"" the valley, multiply the values, and keep the larger one.",Container canvas (stack/queue/heap)
1131,Maximum of Absolute Value Expression,Math (Expression Expansion / 8 Scenarios),"Draw 4 number lines. For each, plot the value of (arr1[i] pm arr2[i] pm i). Circle the furthest two points on each line.",Coordinate-plane canvas
1132,Reported Posts II (SQL),GROUP BY + COUNT(DISTINCT) + AVG,"Draw a ""Join"" bridge. Then draw buckets by date. Show percentages being written on each bucket. Finally, draw one giant funnel averaging those percentages.",Relational table canvas
1133,Largest Unique Number,Frequency Map / Bucket Sort,Draw a row of 1001 boxes. Drop numbers into their boxes. Start at the rightmost box and move left until you find a box with exactly one item.,Lookup-table / bucket canvas
1134,Armstrong Number,Mathematical Digit Extraction,"Draw a number. Write ""%10"" to get the digit, and ""/10"" to shrink the number. Repeat until number is 0. Show the power sum increasing in a side box.",Formula / invariant canvas
1135,Connecting Cities With Minimum Cost,Kruskal's Algorithm (Greedy + DSU),"Draw isolated city dots. List sorted edges. For the cheapest edge, draw a line. If the next edge connects two already connected cities, cross it out (cycle).",Container canvas (stack/queue/heap)
1136,Parallel Courses,Topological Sort (Kahn's Algorithm / BFS),"Draw the graph. Next to each node, write its current ""In-Degree"". Cross out nodes as they reach 0 and move them to a ""Current Semester"" box.",Node-link canvas (tree/list/trie)
1137,N-th Tribonacci Number,Dynamic Programming (Iterative Space Optimized),"Draw three boxes labeled a, b, c. Write numbers in them. Draw an arrow shifting the numbers to the left and dropping the new sum into the c box.",State-table / recurrence canvas
1138,Alphabet Board Path,Coordinate Math (Manhattan Distance Pathing),"Draw the board grid. Write (R, C) coordinates next to each letter. For a target 'c' to 'o', draw the L-shape path and write the 'U/D/L/R' moves.",Grid / board canvas
1139,Largest 1-Bordered Square,2D Prefix Sums (Left and Up counts),"Draw the grid. In each cell, write two numbers (L, U). To verify a square, look at the bottom-right and check if L and U >= k, then check the top-right and bottom-left cells.",Grid / board canvas
1140,Stone Game II,DP with Memoization (Suffix Sums),"Draw a table where Rows = Index, Cols = M. Fill the table using results from sub-problems. Show the ""Max"" calculation choosing the best path.",State-table / recurrence canvas
1141,User Activity for the Past 30 Days I,GROUP BY + DATEDIFF / BETWEEN,"Draw a funnel labeled ""Date Filter"". Draw buckets labeled by Date. Drop unique User IDs into buckets. Count the contents of each bucket.",Relational table canvas
1142,User Activity for the Past 30 Days II,Aggregated Subquery / IFNULL,"Draw a box for each User. Count their unique sessions. Then, draw a large plus sign connecting all boxes, leading into a division symbol.",Strip / timeline / pointer canvas
1143,Longest Common Subsequence,2D Dynamic Programming (Bottom-Up),Draw a grid. Label rows with String 1 and columns with String 2. Fill cells. Draw a diagonal arrow for matches and horizontal/vertical arrows for skips.,Grid / board canvas
1144,Decrease Elements To Make Array Zigzag,Greedy (Two Scenarios: Even vs Odd indices),"Draw the array twice. In row 1, circle even indices; in row 2, circle odd indices. For each circled item, calculate how much it must drop to be 1 less than its smallest neighbor.",Coordinate-plane canvas
1145,Binary Tree Coloring Game,Tree Partitioning / Subtree Counting,"Draw the tree. Circle node X. Shade its left child's subtree, its right child's subtree, and everything above X in different colors. Compare the sizes of the three shaded regions.",Node-link canvas (tree/list/trie)
1146,Snapshot Array,History Tracking (Binary Search on Versions),"Draw an array of buckets. Inside each bucket, draw a list of pairs like `[(0,5), (2,10)]`. For a query at snap 1, show a pointer moving to (0,5).",Lookup-table / bucket canvas
1147,Longest Chunked Palindrome Decomposition,Greedy + Two Pointers (Rolling Hash),"Draw a long rectangle. Shade a small piece at the left and right. If they match, cross them out and write ""2"". Move to the remaining inner part.",Lookup-table / bucket canvas
1148,Article Views I (SQL),SELECT DISTINCT + ORDER BY,"Draw a ""Filter Gate"" where only rows with matching IDs pass through. Then draw a ""Sieve"" (Distinct) that only lets one instance of each ID through.",Relational table canvas
1149,Article Views II (SQL),GROUP BY + HAVING COUNT(DISTINCT),"Draw buckets for each `(User, Date)` pair. Count unique articles in each. Cross out buckets with count <= 1. Output the User IDs from remaining buckets.",Relational table canvas
1150,Check If a Number Is Majority Element in a Sorted Array,Binary Search (Two Bounds),"Draw a sorted array. Use two pointers to ""find"" the start and end of the target number block. Measure the distance between them.",Coordinate-plane canvas
1151,Minimum Swaps to Group All 1's Together,Fixed-Size Sliding Window,"Draw an array. Draw a bracket over the first K elements. Slide the bracket, writing the count of 0s below each position.",Lookup-table / bucket canvas
1152,Analyze User Website Visit Pattern,Sorting + Combinatorics + Hash Map,"Draw a user's timeline. Drop 3 pointers (i, j, k) moving left-to-right. Every valid triplet drops a ""coin"" into a global bucket labeled with that triplet pattern.",Lookup-table / bucket canvas
1153,String Transformation Into Another String,Graph Theory (Out-degree & Cycles),"Draw letters a-z as nodes. Draw arrows from S1 to S2. Check if any node has two outgoing arrows. Check if the graph is a full ""26-node cycle"" with no spare letters.",Node-link canvas (tree/list/trie)
1154,Day of the Year,Prefix Sum Array + Leap Year Logic,"Draw 12 buckets with numbers (31, 28, 31...). Draw an arrow summing buckets up to the target month. Add a +1 box if leap year condition is met.",Lookup-table / bucket canvas
1155,Number of Dice Rolls With Target Sum,2D Dynamic Programming (Space Optimized),"Draw a grid: Rows = Dice, Cols = Sum. For a cell, sum the previous K values in the row above it. Draw a ""sliding sum"" window to illustrate.",Grid / board canvas
1156,Swap For Longest Repeated Character Substring,Grouping + Sliding Window/Case Analysis,"Draw ""Islands"" of characters. Measure the gap between islands. If gap == 1, add island sizes. Draw a ""Bridge"" from another island if available.",Node-link canvas (tree/list/trie)
1157,Online Majority Element In Subarray,Boyer-Moore Voting + Random Sampling / Segment Tree,"Draw a ""Spotlight"" hitting 20 random spots in the range. For each hit, draw a binary search tree to find how many times that number appears in the total array.",Range / bit-state canvas
1158,Market Analysis I (SQL),LEFT JOIN + Conditional Aggregate,Draw a column of all User IDs. Draw a bridge to the Orders table. Only cross the bridge if the date is 2019. Count the crossings per user.,Relational table canvas
1159,Market Analysis II (SQL),Window Function (ROW_NUMBER) + CTE,"Draw the Sales table partitioned into ""Seller Folders"". Inside each folder, number the files 1, 2, 3... Pull out all files labeled ""2"" and compare with the User's ""Favorite"" note.",Relational table canvas
1160,Find Words That Can Be Formed by Characters,Frequency Array (Hash Buckets),"Draw a ""Pantry"" with 26 jars labeled A-Z. Put the number of available letters in each jar. For a word, check if you have enough ""ingredients"" in each jar to cook it.",Lookup-table / bucket canvas
1161,Maximum Level Sum of a Binary Tree,BFS (Queue-based Level Order),"Draw a tree. Draw horizontal dashed lines separating each level. Write the ""Sum"" at the end of each dashed line. Circle the maximum sum.",Container canvas (stack/queue/heap)
1162,As Far from Land as Possible,Multi-Source BFS,"Draw the grid. Color all 1s red. Draw a single ""wavefront"" expanding from all red cells into the zeros at the same time. The last zero to be colored is the answer.",Grid / board canvas
1163,Last Substring in Lexicographical Order,Two Pointers (Optimal Suffix Comparison),"Draw a string. Place two arrows i and j. If i loses the comparison, jump it ahead. The arrow that survives the longest is the start of the lexicographical max.",Node-link canvas (tree/list/trie)
1164,Product Price at a Given Date (SQL),UNION ALL + CTE / Subquery,"Draw two boxes: ""Updated Items"" and ""Default Items"". Join them into one list. Show the date filter acting as a ""Cutoff Wall"".",Relational table canvas
1165,Single-Row Keyboard,Frequency Map / Index Array,"Draw the keyboard. Above it, write the indices 0-25. Create a small table mapping 'a' rightarrow pos, 'b' rightarrow pos. Draw the distance calculation as a subtraction.",Grid / board canvas
1166,Design File System,Trie (Prefix Tree),"Draw a root node `/`. Draw branches for each folder level. Circle nodes that have a ""value"" assigned. Tracing a path is moving down the branches.",Node-link canvas (tree/list/trie)
1167,Minimum Cost to Connect Sticks,Min-Heap (Priority Queue),"Draw a binary heap (tree). Circle the two bottom-most nodes. Remove them, draw a new node with their sum, and show it ""bubbling up"" to its correct spot.",Container canvas (stack/queue/heap)
1168,Optimize Water Distribution in a Village,Kruskal's / Prim's with Virtual Root,"Draw houses as dots. Draw a ""Star"" (Node 0) in the middle. Connect it to all houses with well-costs. Draw pipe edges between houses. Use Kruskal's to pick the cheapest edges.",Container canvas (stack/queue/heap)
