custom_label,question_count,problem_ids,problem_titles,raw_pattern_examples
Promise.allSettled Polyfill,1,2795,Parallel Execution of Promises for Individual Results Retrieval,Promise.allSettled Polyfill
Promise.race() with Timer,1,2637,Promise Time Limit,Promise.race() with Timer
Promises,1,2621,Sleep (JS),Promises + setTimeout
Proxy,1,2691,Immutability Helper (JS),Proxy + Structural Sharing
Range Narrowing (Iterative Intersection). O(N),1,3468,Find the Number of Copy Arrays,Range Narrowing (Iterative Intersection). O(N)
Redundant Array Rotation Buffers (Storing the state of the array for every single shift),1,2735,Collecting Chocolates,Redundant Array Rotation Buffers (Storing the state of the array for every single shift)
Redundant Decision Paths (Visualizing same wall counts being re-calculated in different branches),1,2742,Painting the Walls,Redundant Decision Paths (Visualizing same wall counts being re-calculated in different branches)
Redundant Min/Max Scans (Drawing a search arrow within every window),1,2762,Continuous Subarrays,Redundant Min/Max Scans (Drawing a search arrow within every window)
Resource Hierarchy / Semaphores,1,1226,The Dining Philosophers,Resource Hierarchy / Semaphores
Reverse In-Order Traversal (Right → Root → Left),1,538,Convert BST to Greater Tree,Reverse In-Order Traversal (Right → Root → Left)
Reverse In-order Traversal (Right -> Root -> Left),1,1038,Binary Search Tree to Greater Sum Tree,Reverse In-order Traversal (Right -> Root -> Left)
Reverse Linear Scan,1,66,Plus One,Reverse Linear Scan
Reverse Linear Scan (Right-to-Left),1,1299,Replace Elements with Greatest Element on Right Side,Reverse Linear Scan (Right-to-Left)
"Reverse Traversal Start from the end of the string. Collect K characters, add a dash, and repeat. Reverse the result at the end",1,482,License Key Formatting,"Reverse Traversal Start from the end of the string. Collect K characters, add a dash, and repeat. Reverse the result at the end"
Revert Half the Number,1,9,Palindrome Number,Revert Half the Number
Right Max Array,1,3073,Maximum Increasing Triplet Value,Right Max Array + Sorted Set
Right-Spine Insertion,1,998,Maximum Binary Tree II,Right-Spine Insertion
Right-to-Left Array Reduce,1,2629,Function Composition (JS),Right-to-Left Array Reduce
Right-to-Left Monotonic Scan,1,1762,Buildings With an Ocean View,Right-to-Left Monotonic Scan
"Row Max, Column Max, and Non-Zero Count",1,883,Projection Area of 3D Shapes,"Row Max, Column Max, and Non-Zero Count"
Row-by-Row Comparison Buffer (Visualizing the SQL engine re-scanning the bookings table for every single record),1,2793,Status of Flight Tickets (SQL),Row-by-Row Comparison Buffer (Visualizing the SQL engine re-scanning the bookings table for every single record)
Row-by-Row Memory Copy (Intermediate tables filling up Cartesian space),1,2701,Consecutive Transactions with Increasing Amounts (SQL),Row-by-Row Memory Copy (Intermediate tables filling up Cartesian space)
Row-wise Iteration (Simple Scan),1,1672,Richest Customer Wealth,Row-wise Iteration (Simple Scan)
Running Maximum Comparison,1,769,Max Chunks To Make Sorted,Running Maximum Comparison
Running Maximum Property,1,775,Global and Local Inversions,Running Maximum Property
SELECT DISTINCT,1,1148,Article Views I (SQL),SELECT DISTINCT + ORDER BY
SQL DATE_FORMAT() function,1,1853,Convert Date Format (SQL),SQL DATE_FORMAT() function
SQL IS NULL,1,3358,Books with NULL Ratings,SQL IS NULL
SQL LEAST() and GREATEST() Functions,1,1699,Number of Calls Between Two Persons (SQL),SQL LEAST() and GREATEST() Functions
SQL LIKE Operator / String Matching,1,1527,Patients With a Condition (SQL),SQL LIKE Operator / String Matching
SQL Length Function (LENGTH/CHAR_LENGTH),1,1683,Invalid Tweets (SQL),SQL Length Function (LENGTH/CHAR_LENGTH)
SQL Logical Indexing (`AND` condition),1,1757,Recyclable and Low Fat Products (SQL),SQL Logical Indexing (`AND` condition)
"SQL String Functions (CONCAT, LEFT) running directly on the database engine",1,2504,Concatenate the Name and the Profession (SQL),"SQL String Functions (CONCAT, LEFT) running directly on the database engine"
SQL UNION ALL (Unpivoting),1,1795,Rearrange Products Table (SQL),SQL UNION ALL (Unpivoting)
Semaphores,1,1117,Building H2O,Semaphores + CyclicBarrier / Phasers
Serialized Memory Wait (The closure for the addition waits twice),1,2723,Add Two Promises,Serialized Memory Wait (The closure for the addition waits twice)
Set Size vs. Half-Length Comparison,1,575,Distribute Candies,Set Size vs. Half-Length Comparison
Shunting Yard Algorithm / Two Stacks (Operands & Operators),1,3749,Evaluate Valid Expressions (Hard),Shunting Yard Algorithm / Two Stacks (Operands & Operators)
Simple Iteration (Small Constraints),1,3162,Find the Number of Good Pairs I,Simple Iteration (Small Constraints)
Simple Linear Scan,1,2942,Find Words Containing Character,Simple Linear Scan
Simple WHERE clause with OR,1,595,Big Countries (SQL),Simple WHERE clause with OR
Single Pass,1,2210,Count Hills and Valleys in an Array,Single Pass + Prev Pointer
Single Pass (In-Place),1,83,Remove Duplicates from Sorted List,Single Pass (In-Place)
Single Pass (Shared Edge) Count land cells x 4. Subtract 2 for every shared edge (horizontal or vertical neighbor),1,463,Island Perimeter,Single Pass (Shared Edge) Count land cells x 4. Subtract 2 for every shared edge (horizontal or vertical neighbor)
Single Pass (Space Detection),1,2490,Circular Sentence,Single Pass (Space Detection)
Single Pass / Linear Indexing,1,1572,Matrix Diagonal Sum,Single Pass / Linear Indexing
Single Pass / Offset Comparison,1,1566,Detect Pattern of Length M Repeated K or More Times,Single Pass / Offset Comparison
Single Pass / State Tracking (Current Streak),1,2414,Length of the Longest Alphabetical Continuous Substring,Single Pass / State Tracking (Current Streak)
Single Pass Bound Check. O(N),1,3452,Sum of Good Numbers,Single Pass Bound Check. O(N)
Single Pass Comparison (Pythagorean Theorem),1,3000,Maximum Area of Longest Diagonal Rectangle,Single Pass Comparison (Pythagorean Theorem)
Single Pass Contraction Check,1,1752,Check if Array Is Sorted and Rotated,Single Pass Contraction Check
Single Pass Count Iterate through characters. Count a segment whenever you see a non-space character that follows a space (or is at index 0),1,434,Number of Segments in a String,Single Pass Count Iterate through characters. Count a segment whenever you see a non-space character that follows a space (or is at index 0)
Single Pass First-Occurrence Map,1,2399,Check Distances Between Same Letters,Single Pass First-Occurrence Map
Single Pass Linear Scan,1,1629,Slowest Key,Single Pass Linear Scan
Single Pass Max Tracking,1,747,Largest Number At Least Twice of Others,Single Pass Max Tracking
Single Pass Minimum Tracking,1,1779,Find Nearest Point That Has the Same X or Y Coordinate,Single Pass Minimum Tracking
Single Pass State Toggle,1,2315,Count Asterisks,Single Pass State Toggle
Single Pass State Tracking,1,551,Student Attendance Record I,Single Pass State Tracking
Single Pass Streaming Maximum (King of the Hill),1,1725,Number Of Rectangles That Can Form The Largest Square,Single Pass Streaming Maximum (King of the Hill)
Single Pass with Lookahead (In-Place),1,2816,Double a Number Represented as a Linked List,Single Pass with Lookahead (In-Place)
Single Pass with Running Minimum (Prefix Min),1,2016,Maximum Difference Between Increasing Elements,Single Pass with Running Minimum (Prefix Min)
Single Pass with Three-Node Window,1,2058,Find the Minimum and Maximum Number of Nodes Between Critical Points,Single Pass with Three-Node Window + Edge Point Tracking
Single Pointer Iteration (count spaces and substring once),1,1816,Truncate Sentence,Single Pointer Iteration (count spaces and substring once)
Single-Pass Array Mapping,1,3173,Bitwise OR of Adjacent Elements,Single-Pass Array Mapping
Single-Pass Constant Space Scan,1,3019,Number of Changing Keys,Single-Pass Constant Space Scan
Single-Pass Early Exit,1,2057,Smallest Index With Equal Value,Single-Pass Early Exit
Single-Pass Filtering,1,3065,Minimum Operations to Exceed Threshold Value I,Single-Pass Filtering
Single-Pass Index Mapping,1,1929,Concatenation of Array,Single-Pass Index Mapping
Single-Pass Index Traversal (Step K),1,3271,Hash Divided String,Single-Pass Index Traversal (Step K)
Single-Pass Level Accumulation,1,364,Nested List Weight Sum II,Single-Pass Level Accumulation
Single-Pass Max & Second Max Tracking,1,3833,Count Dominant Indices (Easy),Single-Pass Max & Second Max Tracking
Single-Pass Parity Check,1,3151,Special Array I,Single-Pass Parity Check
Single-Pass Pointer Distance,1,1437,Check If All 1's Are at Least Length K Places Away,Single-Pass Pointer Distance
Single-Pass Pointer Scan,1,1678,Goal Parser Interpretation,Single-Pass Pointer Scan
Single-Pass Range Intersection,1,1450,Number of Students Doing Homework at a Given Time,Single-Pass Range Intersection
Single-Pass Reverse Scan (Right-to-Left Pointer),1,1309,Decrypt String from Alphabet to Integer,Single-Pass Reverse Scan (Right-to-Left Pointer)
Single-Pass Scalar Tracking,1,1796,Second Largest Digit in a String,Single-Pass Scalar Tracking
Single-Pivot Circularity Check,1,2855,Minimum Right Shifts to Sort the Array,Single-Pivot Circularity Check
Single-pass: Find the first and last occurrence of different words. The max distance is either LastIndex - FirstIndex or LastIndex - SecondFirstIndex,1,3696,Maximum Distance Between Unequal Words I (Easy),Single-pass: Find the first and last occurrence of different words. The max distance is either LastIndex - FirstIndex or LastIndex - SecondFirstIndex
Sliding Boundary Pointers,1,2232,Minimize Result by Adding Parentheses to Expression,Sliding Boundary Pointers
SlowithFast Pointers,1,234,Palindrome Linked List,SlowithFast Pointers + In-Place Reversal of Second Half
Square Root Decomposition (Block separation),1,1714,Sum Of Special Evenly-Spaced Elements In Array,Square Root Decomposition (Block separation)
Square Root Divisor Hunt,1,1390,Four Divisors,Square Root Divisor Hunt
Square-Free Part Grouping,1,2862,Maximum Element-Sum of a Complete Subset of Indices,Square-Free Part Grouping
Standard Library formatting (bin/format),1,3280,Convert Date to Binary,Standard Library formatting (bin/format)
Standardization via Pre-filtering,1,831,Masking Personal Information,Standardization via Pre-filtering + Template Mapping
Start at Square Root Start W at lfloor√{N}rfloor and decrement until N % W == 0. This ensures L and W are as close as possible,1,492,Construct the Rectangle,Start at Square Root Start W at lfloor√{N}rfloor and decrement until N % W == 0. This ensures L and W are as close as possible
State Array Snapshots (Drawing the entire array state for every microscopic time increment),1,2751,Robot Collisions,State Array Snapshots (Drawing the entire array state for every microscopic time increment)
State Tracking (Parity / Flip Count),1,3141,Maximum Hamming Distances,State Tracking (Parity / Flip Count)
String Comparison (In-place `startsWith`),1,2185,Counting Words With a Given Prefix,String Comparison (In-place `startsWith`)
String Comparison / Line Overlap,1,2446,Determine if Two Events Have Conflict,String Comparison / Line Overlap
"String Doubling Trick Concatenate S+S. Remove the first and last characters. If S is still a substring of the result, it has a repeated pattern",1,459,Repeated Substring Pattern,"String Doubling Trick Concatenate S+S. Remove the first and last characters. If S is still a substring of the result, it has a repeated pattern"
String Functions,1,1543,Fix Product Name Format (SQL),String Functions + Aggregation
String Mutation Buffer (Visualizing repeated string recreations for each swap in languages with immutable strings),1,2785,Sort Vowels in a String,String Mutation Buffer (Visualizing repeated string recreations for each swap in languages with immutable strings)
String Predicate Filtering,1,3150,Invalid Tweets II (SQL),String Predicate Filtering
String Slicing / Cyclic Shift,1,3210,Find the Encrypted String,String Slicing / Cyclic Shift
String Split,1,1859,Sorting the Sentence,String Split + Bucket Array mapping
Substring Slicing,1,2678,Number of Senior Citizens,Substring Slicing + Direct Integer Comparison
Suffix Array Traversal (Right-to-Left Scan),1,3818,Minimum Prefix Removal to Make Array Strictly Increasing (Med.),Suffix Array Traversal (Right-to-Left Scan)
Suffix Sum of Shifts,1,848,Shifting Letters,Suffix Sum of Shifts
Symmetric Construction (Pairing),1,1304,Find N Unique Integers Sum up to Zero,Symmetric Construction (Pairing)
Symmetry Grouping (2x2 Blocks,1,3240,Minimum Number of Flips to Make Binary Grid Palindromic II,Symmetry Grouping (2x2 Blocks + Centroids)
Synchronization (Mutex/Locking),1,1279,Traffic Light Controlled Intersection,Synchronization (Mutex/Locking)
Synchronization (Semaphores / Mutex,1,1195,Fizz Buzz Multithreaded,Synchronization (Semaphores / Mutex + Conditions)
Targeted Filter,1,2230,The Users That Are Eligible for Discount,Targeted Filter + Distinct (SQL)
Temporal State Snapshots (Visualizing the position of every robot at every tick of time),1,2731,Movement of Robots,Temporal State Snapshots (Visualizing the position of every robot at every tick of time)
Temporary Object Accumulation (Creating massive amounts of intermediate merged objects),1,2722,Join Two Arrays by ID,Temporary Object Accumulation (Creating massive amounts of intermediate merged objects)
Temporary Property Allocation (Mutation of the target object),1,2754,Bind Function to Context (JS),Temporary Property Allocation (Mutation of the target object)
The Circular Link (Ring),1,61,Rotate List,The Circular Link (Ring)
The Reversal Algorithm,1,189,Rotate Array,The Reversal Algorithm
Three-Phase Linear Scan,1,57,Insert Interval,Three-Phase Linear Scan
Tokenization,1,1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,Tokenization + `startsWith`
Top-3 Length Tracking per Character,1,2982,Find Longest Special Substring That Occurs Thrice II,Top-3 Length Tracking per Character
"Top-3 Variables Keep `first`, `second`, `third` initialized to -Infinity. Update them sequentially as you iterate O(N)",1,414,Third Maximum Number,"Top-3 Variables Keep `first`, `second`, `third` initialized to -Infinity. Update them sequentially as you iterate O(N)"
Trust Score Array (In-Degree vs Out-Degree),1,997,Find the Town Judge,Trust Score Array (In-Degree vs Out-Degree)
Two Heaps (Priority Queues) / TreeSet,1,1606,Find Servers That Handled Most Number of Requests,Two Heaps (Priority Queues) / TreeSet
Two Passes (Prefix and Suffix) using Max-Heaps of size K,1,2519,Count the Number of K-Big Indices,Two Passes (Prefix and Suffix) using Max-Heaps of size K
Two Queues (Enter and Exit) with State Tracking,1,2534,Time Taken to Cross the Door,Two Queues (Enter and Exit) with State Tracking
"Two Queues (R_index, D_index)",1,649,Dota2 Senate,"Two Queues (R_index, D_index)"
"Two Stacks (Amortized O(1) - ""Lazy Transfer"")",1,232,Implement Queue using Stacks,"Two Stacks (Amortized O(1) - ""Lazy Transfer"")"
Two Stacks (Predecessor & Successor),1,272,Closest BST Value II,Two Stacks (Predecessor & Successor)
Two Stacks / Gap Buffer,1,2296,Design a Text Editor,Two Stacks / Gap Buffer
Two Stacks Push all nodes of both lists onto two stacks. Pop from both to add from right-to-left,1,445,Add Two Numbers II,Two Stacks Push all nodes of both lists onto two stacks. Pop from both to add from right-to-left
Two-Pass / Prefix Tracking,1,1422,Maximum Score After Splitting a String,Two-Pass / Prefix Tracking
Two-Pass Inclusion/Exclusion (At-Most K),1,795,Number of Subarrays with Bounded Maximum,Two-Pass Inclusion/Exclusion (At-Most K)
Two-Pass Linear Traversal (Head-to-Tail),1,3294,Convert Doubly Linked List to Array II,Two-Pass Linear Traversal (Head-to-Tail)
Two-Pass Min-Sweep (Left-to-Right,1,821,Shortest Distance to a Character,Two-Pass Min-Sweep (Left-to-Right + Right-to-Left)
Two-Pass Monotonic Logic (Min/Max Tracking),1,581,Shortest Unsorted Continuous Subarray,Two-Pass Monotonic Logic (Min/Max Tracking)
Two-Way Summation (Circular Array),1,1184,Distance Between Bus Stops,Two-Way Summation (Circular Array)
Two-way expansion from 'start' index,1,1848,Minimum Distance to the Target Element,Two-way expansion from 'start' index
UNION of two filtered sets,1,1789,Primary Department for Each Employee (SQL),UNION of two filtered sets
Update-History Log (Inverse Search),1,1476,Subrectangle Queries,Update-History Log (Inverse Search)
Vectorized Assignment: df['bonus'] = df['salary'] * 2,1,2881,Create a New Column,Vectorized Assignment: df['bonus'] = df['salary'] * 2
Visited Set / In-Place Marking,1,565,Array Nesting,Visited Set / In-Place Marking
WHERE clause filtering directly in SQL engine,1,1821,Find Customers With Positive Revenue this Year (SQL),WHERE clause filtering directly in SQL engine
Win-Condition Invariance Check,1,794,Valid Tic-Tac-Toe State,Win-Condition Invariance Check
Wormhole Teleportation (O(N) Pre-matching),1,1190,Reverse Substrings Between Each Pair of Parentheses,Wormhole Teleportation (O(N) Pre-matching)
Z-Algorithm,1,2223,Sum of Scores of Built Strings,Z-Algorithm
Z-Algorithm (Prefix & Suffix Matching),1,3303,Find the Occurrence of First Almost Equal Substring,Z-Algorithm (Prefix & Suffix Matching)
Zeller's Congruence / Sum of Days,1,1185,Day of the Week,Zeller's Congruence / Sum of Days
df.drop_duplicates(subset=['id']),1,2882,Drop Duplicate Rows,df.drop_duplicates(subset=['id'])
df.dropna(subset=['name']),1,2883,Drop Missing Data,df.dropna(subset=['name'])
df.head(3) (Slicing),1,2879,Display the First Three Rows,df.head(3) (Slicing)
"df.melt(id_vars=['product'], ...)",1,2890,Reshape Data: Melt,"df.melt(id_vars=['product'], ...)"
"df.pivot(index='month', columns='city', values='temperature')",1,2889,Reshape Data: Pivot,"df.pivot(index='month', columns='city', values='temperature')"
df.rename(columns={...}),1,2885,Rename Columns,df.rename(columns={...})
df.shape Attribute Access,1,2878,Get the Size of a DataFrame,df.shape Attribute Access
df['grade'].astype(int),1,2886,Change Data Type,df['grade'].astype(int)
df['quantity'].fillna(0),1,2887,Fill Missing Data,df['quantity'].fillna(0)
"pd.concat([df1, df2])",1,2888,Reshape Data: Concatenate,"pd.concat([df1, df2])"
setTimeout,1,2821,Delay the Resolution of Each Promise,setTimeout + Promise Wrapper
valueOf() and toString() Overriding,1,2695,Array Wrapper (JS),valueOf() and toString() Overriding
